country,country_code,indicator,indicator_code,year,value
Mauritania,MRT,"Labor force, total",SL.TLF.TOTL.IN,1990,495369.0
Mauritania,MRT,"Labor force, total",SL.TLF.TOTL.IN,1991,510519.0
Mauritania,MRT,"Labor force, total",SL.TLF.TOTL.IN,1992,533965.0
Mauritania,MRT,"Labor force, total",SL.TLF.TOTL.IN,1993,559857.0
Mauritania,MRT,"Labor force, total",SL.TLF.TOTL.IN,1994,580159.0
Mauritania,MRT,"Labor force, total",SL.TLF.TOTL.IN,1995,594895.0
Mauritania,MRT,"Labor force, total",SL.TLF.TOTL.IN,1996,603191.0
Mauritania,MRT,"Labor force, total",SL.TLF.TOTL.IN,1997,615131.0
Mauritania,MRT,"Labor force, total",SL.TLF.TOTL.IN,1998,631881.0
Mauritania,MRT,"Labor force, total",SL.TLF.TOTL.IN,1999,650369.0
Mauritania,MRT,"Labor force, total",SL.TLF.TOTL.IN,2000,670649.0
Mauritania,MRT,"Labor force, total",SL.TLF.TOTL.IN,2001,685336.0
Mauritania,MRT,"Labor force, total",SL.TLF.TOTL.IN,2002,697153.0
Mauritania,MRT,"Labor force, total",SL.TLF.TOTL.IN,2003,709931.0
Mauritania,MRT,"Labor force, total",SL.TLF.TOTL.IN,2004,723366.0
Mauritania,MRT,"Labor force, total",SL.TLF.TOTL.IN,2005,737537.0
Mauritania,MRT,"Labor force, total",SL.TLF.TOTL.IN,2006,752518.0
Mauritania,MRT,"Labor force, total",SL.TLF.TOTL.IN,2007,768512.0
Mauritania,MRT,"Labor force, total",SL.TLF.TOTL.IN,2008,788961.0
Mauritania,MRT,"Labor force, total",SL.TLF.TOTL.IN,2009,813148.0
Mauritania,MRT,"Labor force, total",SL.TLF.TOTL.IN,2010,836733.0
Mauritania,MRT,"Labor force, total",SL.TLF.TOTL.IN,2011,859554.0
Mauritania,MRT,"Labor force, total",SL.TLF.TOTL.IN,2012,881729.0
Mauritania,MRT,"Labor force, total",SL.TLF.TOTL.IN,2013,897627.0
Mauritania,MRT,"Labor force, total",SL.TLF.TOTL.IN,2014,913659.0
Mauritania,MRT,"Labor force, total",SL.TLF.TOTL.IN,2015,930280.0
Mauritania,MRT,"Labor force, total",SL.TLF.TOTL.IN,2016,947607.0
Mauritania,MRT,"Labor force, total",SL.TLF.TOTL.IN,2017,965695.0
Mauritania,MRT,"Labor force, total",SL.TLF.TOTL.IN,2018,995679.0
Mauritania,MRT,"Labor force, total",SL.TLF.TOTL.IN,2019,1026834.0
Mauritania,MRT,"Labor force, total",SL.TLF.TOTL.IN,2020,1050360.0
Mauritania,MRT,"Labor force, total",SL.TLF.TOTL.IN,2021,1087195.0
Mauritania,MRT,"Labor force, total",SL.TLF.TOTL.IN,2022,1135542.0
Mauritania,MRT,"Labor force, total",SL.TLF.TOTL.IN,2023,1172057.0
Mauritania,MRT,"Labor force, total",SL.TLF.TOTL.IN,2024,1209855.0
