country,country_code,indicator,indicator_code,year,value
Mauritius,MUS,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1973,14.4075798945028
Mauritius,MUS,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1974,13.9957118986689
Mauritius,MUS,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1975,17.7209430751742
Mauritius,MUS,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1976,21.9137095646339
Mauritius,MUS,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1977,23.569101464761
Mauritius,MUS,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1978,24.3572538117702
Mauritius,MUS,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1979,24.4973892044356
Mauritius,MUS,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1980,23.9945156013994
Mauritius,MUS,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1981,25.3081846337881
Mauritius,MUS,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1982,25.6032490497461
Mauritius,MUS,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1983,25.4939321087849
Mauritius,MUS,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1984,23.8941634176607
Mauritius,MUS,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1985,22.593855826977
Mauritius,MUS,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1986,20.1700522469506
Mauritius,MUS,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1987,18.5240193890447
Mauritius,MUS,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1988,19.4700977379783
Mauritius,MUS,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1989,19.174126624518
Mauritius,MUS,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1990,18.713555577084
Mauritius,MUS,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1991,18.4441468978119
Mauritius,MUS,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1992,18.7401376913644
Mauritius,MUS,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1993,17.3074499633019
Mauritius,MUS,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1994,18.533645025902
Mauritius,MUS,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1995,18.5998586783252
Mauritius,MUS,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1996,18.531324381369
Mauritius,MUS,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1997,19.5562199325273
Mauritius,MUS,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1998,19.2408455352683
Mauritius,MUS,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1999,21.3902792956259
Mauritius,MUS,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2000,19.8253623129901
Mauritius,MUS,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2001,19.7655970961041
Mauritius,MUS,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2002,19.7102368327767
Mauritius,MUS,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2003,19.3890674435909
Mauritius,MUS,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2004,19.8721935724455
Mauritius,MUS,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2005,19.8924138059458
Mauritius,MUS,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2006,19.5644546147979
Mauritius,MUS,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2007,18.3086152242654
Mauritius,MUS,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2008,18.0348913295855
Mauritius,MUS,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2009,20.9535022415991
Mauritius,MUS,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2010,22.0184311446078
Mauritius,MUS,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2011,20.4000036292481
Mauritius,MUS,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2012,20.3563158074857
Mauritius,MUS,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2013,21.5855001576531
Mauritius,MUS,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2014,21.8258977747027
Mauritius,MUS,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2015,11.3912689815079
Mauritius,MUS,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2016,23.0671234529288
Mauritius,MUS,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2017,22.2217761733363
Mauritius,MUS,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2018,22.5761613136365
Mauritius,MUS,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2019,22.8420041612902
Mauritius,MUS,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2020,31.6871860675824
Mauritius,MUS,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2021,32.93694745482
Mauritius,MUS,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2022,28.2555168393533
Mauritius,MUS,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2023,29.0825041603987
