country,country_code,indicator,indicator_code,year,value
Mauritius,MUS,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1973,14.2257807791147
Mauritius,MUS,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1974,11.5117151543568
Mauritius,MUS,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1975,16.2645284795091
Mauritius,MUS,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1976,19.8538586225002
Mauritius,MUS,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1977,19.4532571440434
Mauritius,MUS,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1978,17.4937681927493
Mauritius,MUS,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1979,16.2820848639983
Mauritius,MUS,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1980,18.1697558918347
Mauritius,MUS,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1981,17.4078943455856
Mauritius,MUS,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1982,16.4387939435229
Mauritius,MUS,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1983,18.8367193058753
Mauritius,MUS,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1984,19.2581157792252
Mauritius,MUS,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1985,17.7713156969784
Mauritius,MUS,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1986,17.5419850967209
Mauritius,MUS,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1987,17.5760856015597
Mauritius,MUS,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1988,19.0101606257892
Mauritius,MUS,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1989,19.8262230758598
Mauritius,MUS,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1990,19.3857925267581
Mauritius,MUS,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1991,20.0238380895215
Mauritius,MUS,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1992,18.8958729076362
Mauritius,MUS,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1993,17.8601562223385
Mauritius,MUS,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1994,18.038632188371
Mauritius,MUS,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1995,15.9001352002415
Mauritius,MUS,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1996,14.6161928118565
Mauritius,MUS,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1997,15.7810071488851
Mauritius,MUS,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1998,15.7808862294593
Mauritius,MUS,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1999,16.5261463793959
Mauritius,MUS,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2000,16.7284303346812
Mauritius,MUS,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2001,14.939651933863
Mauritius,MUS,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2002,14.8071830302121
Mauritius,MUS,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2003,15.8814971482717
Mauritius,MUS,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2004,16.0245110309857
Mauritius,MUS,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2005,17.0271316668288
Mauritius,MUS,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2006,16.0286714228025
Mauritius,MUS,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2007,15.1054617551751
Mauritius,MUS,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2008,16.9672194586532
Mauritius,MUS,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2009,18.0730130657124
Mauritius,MUS,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2010,18.0167133723215
Mauritius,MUS,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2011,18.0045184138976
Mauritius,MUS,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2012,18.6217074867957
Mauritius,MUS,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2013,18.1226037396896
Mauritius,MUS,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2014,18.083856415995
Mauritius,MUS,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2015,8.75800596765304
Mauritius,MUS,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2016,17.6077916536348
Mauritius,MUS,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2017,17.9326440888549
Mauritius,MUS,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2018,18.4060481114775
Mauritius,MUS,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2019,19.4074380794676
Mauritius,MUS,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2020,20.7062334641793
Mauritius,MUS,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2021,18.264394630822
Mauritius,MUS,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2022,19.080327756746
Mauritius,MUS,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2023,20.5492796301866
