country,country_code,indicator,indicator_code,year,value
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,1960,43061.0
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,1961,44610.0
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,1962,46218.0
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,1963,47744.0
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,1964,49181.0
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,1965,50684.0
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,1966,52258.0
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,1967,53846.0
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,1968,55457.0
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,1969,57145.0
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,1970,58922.0
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,1971,60636.0
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,1972,62278.0
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,1973,63986.0
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,1974,65749.0
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,1975,67428.0
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,1976,69049.0
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,1977,70753.0
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,1978,72754.0
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,1979,75054.0
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,1980,77407.0
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,1981,79794.0
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,1982,82219.0
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,1983,84680.0
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,1984,87176.0
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,1985,89707.0
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,1986,92266.0
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,1987,94844.0
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,1988,97097.0
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,1989,99003.0
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,1990,100888.0
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,1991,102754.0
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,1992,104806.0
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,1993,107066.0
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,1994,109075.0
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,1995,110230.0
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,1996,110710.0
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,1997,111071.0
