country,country_code,indicator,indicator_code,year,value
Moldova,MDA,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1995,28.4455720660554
Moldova,MDA,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1996,27.2874008568319
Moldova,MDA,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1997,25.435554097662
Moldova,MDA,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1998,20.3234930328094
Moldova,MDA,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1999,20.5076405135261
Moldova,MDA,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2000,19.1476693676567
Moldova,MDA,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2001,21.9691372835076
Moldova,MDA,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2002,20.3847621314161
Moldova,MDA,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2003,20.6728809877258
Moldova,MDA,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2004,20.7175324675325
Moldova,MDA,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2005,19.1675900350579
Moldova,MDA,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2006,18.7779036510703
Moldova,MDA,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2007,19.4423919146547
Moldova,MDA,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2008,19.1217348463177
Moldova,MDA,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2009,17.1628740871454
Moldova,MDA,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2010,20.4338917212317
Moldova,MDA,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2011,20.9107204171007
Moldova,MDA,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2012,21.3145109050194
Moldova,MDA,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2013,21.6032575380958
Moldova,MDA,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2014,21.1263772009346
Moldova,MDA,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2015,21.1076657265026
Moldova,MDA,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2016,21.1944646085144
Moldova,MDA,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2017,21.0188767695091
Moldova,MDA,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2018,22.1479763600006
Moldova,MDA,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2019,21.9233489252916
Moldova,MDA,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2020,23.1345230028419
Moldova,MDA,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2021,20.6312606801817
Moldova,MDA,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2022,19.0908218110745
Moldova,MDA,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2023,17.687867818777
Moldova,MDA,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2024,16.780476066647
