country,country_code,indicator,indicator_code,year,value
Moldova,MDA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1995,33.1450380147892
Moldova,MDA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1996,37.5048765242264
Moldova,MDA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1997,38.325149504176
Moldova,MDA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1998,43.3002419505218
Moldova,MDA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1999,49.499657267257
Moldova,MDA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2000,45.3431424262767
Moldova,MDA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2001,45.9236688117086
Moldova,MDA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2002,47.9359774298987
Moldova,MDA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2003,48.5114051920779
Moldova,MDA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2004,49.8806943056943
Moldova,MDA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2005,50.4115505152449
Moldova,MDA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2006,52.6490324887161
Moldova,MDA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2007,55.9735991016283
Moldova,MDA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2008,56.4299847430152
Moldova,MDA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2009,60.0497721298214
Moldova,MDA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2010,54.5367158254819
Moldova,MDA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2011,53.572447894711
Moldova,MDA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2012,54.4511648315395
Moldova,MDA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2013,52.7992027050012
Moldova,MDA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2014,51.5066274945247
Moldova,MDA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2015,53.3342064591852
Moldova,MDA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2016,53.7937240113846
Moldova,MDA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2017,53.1080578877536
Moldova,MDA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2018,53.9337913876541
Moldova,MDA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2019,54.6779595310298
Moldova,MDA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2020,54.0947225317709
Moldova,MDA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2021,54.641640960384
Moldova,MDA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2022,58.8893896635498
Moldova,MDA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2023,61.5158191372832
Moldova,MDA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2024,62.265956666112
