country,country_code,indicator,indicator_code,year,value
Myanmar,MMR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1976,-34136683.2604166
Myanmar,MMR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1977,-101648230.884481
Myanmar,MMR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1978,-217956645.692449
Myanmar,MMR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1979,-362276009.53861
Myanmar,MMR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1980,-350464773.202239
Myanmar,MMR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1981,-316803089.693401
Myanmar,MMR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1982,-503943870.644235
Myanmar,MMR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1983,-353341309.170852
Myanmar,MMR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1984,-219973645.742094
Myanmar,MMR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1985,-205473782.180159
Myanmar,MMR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1986,-294031902.570059
Myanmar,MMR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1987,-179963485.618836
Myanmar,MMR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1988,-175909957.273204
Myanmar,MMR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1989,-67996088.0943077
Myanmar,MMR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1990,-431312097.320555
Myanmar,MMR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1991,-267423060.187716
Myanmar,MMR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1992,-114405185.218182
Myanmar,MMR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1993,-227817661.549679
Myanmar,MMR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1994,-129890407.440516
Myanmar,MMR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1995,-258458643.356422
Myanmar,MMR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1996,-279839473.448314
Myanmar,MMR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1997,-412031207.595677
Myanmar,MMR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1998,-494217241.247909
Myanmar,MMR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1999,-281887685.705825
Myanmar,MMR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2000,-210121258.637527
Myanmar,MMR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2001,-151992286.186462
Myanmar,MMR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2002,95581258.8761711
Myanmar,MMR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2003,-19091581.1234572
Myanmar,MMR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2004,110259950.055115
Myanmar,MMR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2005,581822509.164658
Myanmar,MMR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2006,793885290.131149
Myanmar,MMR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2007,1380740924.81006
Myanmar,MMR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2008,1247028551.03206
Myanmar,MMR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2009,986009643.900037
Myanmar,MMR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2010,1574156747.26505
Myanmar,MMR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2011,-1561122334.3245
Myanmar,MMR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2012,-1259646752.3723
Myanmar,MMR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2013,-388582899.831015
Myanmar,MMR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2014,-2481498402.81779
Myanmar,MMR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2015,-3109126533.41224
Myanmar,MMR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2016,-1919047827.97293
Myanmar,MMR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2017,-4916790033.35814
Myanmar,MMR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2018,-2561158568.90545
Myanmar,MMR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2019,67720479.4120727
