country,country_code,indicator,indicator_code,year,value
Myanmar,MMR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1976,174266855.215601
Myanmar,MMR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1977,207654402.534131
Myanmar,MMR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1978,275618868.521636
Myanmar,MMR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1979,366275658.098493
Myanmar,MMR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1980,432655513.206922
Myanmar,MMR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1981,537861333.369141
Myanmar,MMR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1982,427186820.961193
Myanmar,MMR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1983,378760495.903631
Myanmar,MMR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1984,367785195.211564
Myanmar,MMR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1985,310750786.522324
Myanmar,MMR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1986,330747182.402281
Myanmar,MMR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1987,219600185.256514
Myanmar,MMR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1988,165675676.589647
Myanmar,MMR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1989,222785107.64019
Myanmar,MMR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1990,222561318.803814
Myanmar,MMR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1991,248208683.413163
Myanmar,MMR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1992,531301139.985914
Myanmar,MMR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1993,630895694.153818
Myanmar,MMR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1994,857359502.319348
Myanmar,MMR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1995,933238773.841044
Myanmar,MMR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1996,937879657.722167
Myanmar,MMR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1997,974532500.398959
Myanmar,MMR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1998,1065148646.92793
Myanmar,MMR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1999,1070928696.65065
Myanmar,MMR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2000,1195108984.41437
Myanmar,MMR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2001,2036955438.31629
Myanmar,MMR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2002,1985874132.04824
Myanmar,MMR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2003,2329005516.70186
Myanmar,MMR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2004,2669379128.82906
Myanmar,MMR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2005,3502320472.31266
Myanmar,MMR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2006,4221698958.20091
Myanmar,MMR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2007,5402494811.76368
Myanmar,MMR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2008,5905367870.45539
Myanmar,MMR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2009,5903449906.03202
Myanmar,MMR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2010,7334734734.75803
Myanmar,MMR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2011,7699035580.07335
Myanmar,MMR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2012,8220307242.73234
Myanmar,MMR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2013,9403775778.93114
Myanmar,MMR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2014,10026283739.6235
Myanmar,MMR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2015,9957483516.83612
Myanmar,MMR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2016,9234804283.57794
Myanmar,MMR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2017,9810554818.44855
Myanmar,MMR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2018,11075561646.0452
Myanmar,MMR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2019,10840841174.0728
