country,country_code,indicator,indicator_code,year,value
Namibia,NAM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2000,9.23999977
Namibia,NAM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2001,9.64409447
Namibia,NAM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2002,9.68074989
Namibia,NAM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2003,9.91340542
Namibia,NAM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2004,10.12623405
Namibia,NAM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2005,10.08441544
Namibia,NAM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2006,10.57086945
Namibia,NAM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2007,10.71633053
Namibia,NAM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2008,9.91801167
Namibia,NAM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2009,9.04967022
Namibia,NAM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2010,9.72781372
Namibia,NAM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2011,9.83193302
Namibia,NAM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2012,9.26659298
Namibia,NAM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2013,9.06448746
Namibia,NAM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2014,8.4089098
Namibia,NAM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2015,9.98109627
Namibia,NAM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2016,9.3223238
Namibia,NAM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2017,8.72573948
Namibia,NAM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2018,8.28609943
Namibia,NAM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2019,8.39904404
Namibia,NAM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2020,8.88723373
Namibia,NAM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2021,9.33766365
Namibia,NAM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2022,9.29635525
