country,country_code,indicator,indicator_code,year,value
Namibia,NAM,"Population, total",SP.POP.TOTL,1960,591465.0
Namibia,NAM,"Population, total",SP.POP.TOTL,1961,603067.0
Namibia,NAM,"Population, total",SP.POP.TOTL,1962,615759.0
Namibia,NAM,"Population, total",SP.POP.TOTL,1963,629589.0
Namibia,NAM,"Population, total",SP.POP.TOTL,1964,644530.0
Namibia,NAM,"Population, total",SP.POP.TOTL,1965,660558.0
Namibia,NAM,"Population, total",SP.POP.TOTL,1966,677655.0
Namibia,NAM,"Population, total",SP.POP.TOTL,1967,696045.0
Namibia,NAM,"Population, total",SP.POP.TOTL,1968,715542.0
Namibia,NAM,"Population, total",SP.POP.TOTL,1969,736120.0
Namibia,NAM,"Population, total",SP.POP.TOTL,1970,757868.0
Namibia,NAM,"Population, total",SP.POP.TOTL,1971,780584.0
Namibia,NAM,"Population, total",SP.POP.TOTL,1972,804399.0
Namibia,NAM,"Population, total",SP.POP.TOTL,1973,828928.0
Namibia,NAM,"Population, total",SP.POP.TOTL,1974,854320.0
Namibia,NAM,"Population, total",SP.POP.TOTL,1975,881032.0
Namibia,NAM,"Population, total",SP.POP.TOTL,1976,906566.0
Namibia,NAM,"Population, total",SP.POP.TOTL,1977,931104.0
Namibia,NAM,"Population, total",SP.POP.TOTL,1978,947269.0
Namibia,NAM,"Population, total",SP.POP.TOTL,1979,962825.0
Namibia,NAM,"Population, total",SP.POP.TOTL,1980,981434.0
Namibia,NAM,"Population, total",SP.POP.TOTL,1981,992500.0
Namibia,NAM,"Population, total",SP.POP.TOTL,1982,1010308.0
Namibia,NAM,"Population, total",SP.POP.TOTL,1983,1037511.0
Namibia,NAM,"Population, total",SP.POP.TOTL,1984,1065989.0
Namibia,NAM,"Population, total",SP.POP.TOTL,1985,1096890.0
Namibia,NAM,"Population, total",SP.POP.TOTL,1986,1131081.0
Namibia,NAM,"Population, total",SP.POP.TOTL,1987,1167889.0
Namibia,NAM,"Population, total",SP.POP.TOTL,1988,1209696.0
Namibia,NAM,"Population, total",SP.POP.TOTL,1989,1288947.0
Namibia,NAM,"Population, total",SP.POP.TOTL,1990,1369303.0
Namibia,NAM,"Population, total",SP.POP.TOTL,1991,1415684.0
Namibia,NAM,"Population, total",SP.POP.TOTL,1992,1461322.0
Namibia,NAM,"Population, total",SP.POP.TOTL,1993,1508697.0
Namibia,NAM,"Population, total",SP.POP.TOTL,1994,1556304.0
Namibia,NAM,"Population, total",SP.POP.TOTL,1995,1602170.0
Namibia,NAM,"Population, total",SP.POP.TOTL,1996,1646103.0
Namibia,NAM,"Population, total",SP.POP.TOTL,1997,1689264.0
Namibia,NAM,"Population, total",SP.POP.TOTL,1998,1732745.0
Namibia,NAM,"Population, total",SP.POP.TOTL,1999,1776368.0
Namibia,NAM,"Population, total",SP.POP.TOTL,2000,1818647.0
Namibia,NAM,"Population, total",SP.POP.TOTL,2001,1857048.0
Namibia,NAM,"Population, total",SP.POP.TOTL,2002,1889970.0
Namibia,NAM,"Population, total",SP.POP.TOTL,2003,1917464.0
Namibia,NAM,"Population, total",SP.POP.TOTL,2004,1942082.0
Namibia,NAM,"Population, total",SP.POP.TOTL,2005,1966582.0
Namibia,NAM,"Population, total",SP.POP.TOTL,2006,1991888.0
Namibia,NAM,"Population, total",SP.POP.TOTL,2007,2018600.0
Namibia,NAM,"Population, total",SP.POP.TOTL,2008,2047056.0
Namibia,NAM,"Population, total",SP.POP.TOTL,2009,2077394.0
Namibia,NAM,"Population, total",SP.POP.TOTL,2010,2109811.0
Namibia,NAM,"Population, total",SP.POP.TOTL,2011,2146325.0
Namibia,NAM,"Population, total",SP.POP.TOTL,2012,2194654.0
Namibia,NAM,"Population, total",SP.POP.TOTL,2013,2252508.0
Namibia,NAM,"Population, total",SP.POP.TOTL,2014,2312139.0
Namibia,NAM,"Population, total",SP.POP.TOTL,2015,2374300.0
Namibia,NAM,"Population, total",SP.POP.TOTL,2016,2439213.0
Namibia,NAM,"Population, total",SP.POP.TOTL,2017,2506853.0
Namibia,NAM,"Population, total",SP.POP.TOTL,2018,2577327.0
Namibia,NAM,"Population, total",SP.POP.TOTL,2019,2650494.0
Namibia,NAM,"Population, total",SP.POP.TOTL,2020,2728762.0
Namibia,NAM,"Population, total",SP.POP.TOTL,2021,2810548.0
Namibia,NAM,"Population, total",SP.POP.TOTL,2022,2889662.0
Namibia,NAM,"Population, total",SP.POP.TOTL,2023,2963095.0
Namibia,NAM,"Population, total",SP.POP.TOTL,2024,3030131.0
