country,country_code,indicator,indicator_code,year,value
Namibia,NAM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1960,17.909
Namibia,NAM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1961,18.334
Namibia,NAM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1962,18.748
Namibia,NAM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1963,19.17
Namibia,NAM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1964,19.6
Namibia,NAM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1965,20.035
Namibia,NAM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1966,20.478
Namibia,NAM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1967,20.929
Namibia,NAM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1968,21.387
Namibia,NAM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1969,21.852
Namibia,NAM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1970,22.292
Namibia,NAM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1971,22.559
Namibia,NAM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1972,22.829
Namibia,NAM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1973,23.1
Namibia,NAM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1974,23.374
Namibia,NAM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1975,23.651
Namibia,NAM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1976,23.929
Namibia,NAM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1977,24.21
Namibia,NAM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1978,24.493
Namibia,NAM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1979,24.778
Namibia,NAM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1980,25.066
Namibia,NAM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1981,25.355
Namibia,NAM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1982,25.611
Namibia,NAM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1983,25.861
Namibia,NAM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1984,26.113
Namibia,NAM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1985,26.366
Namibia,NAM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1986,26.621
Namibia,NAM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1987,26.877
Namibia,NAM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1988,27.136
Namibia,NAM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1989,27.395
Namibia,NAM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1990,27.656
Namibia,NAM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1991,27.919
Namibia,NAM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1992,28.336
Namibia,NAM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1993,28.823
Namibia,NAM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1994,29.316
Namibia,NAM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1995,29.813
Namibia,NAM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1996,30.316
Namibia,NAM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1997,30.823
Namibia,NAM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1998,31.335
Namibia,NAM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1999,31.851
Namibia,NAM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,32.373
Namibia,NAM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2001,32.898
Namibia,NAM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2002,33.766
Namibia,NAM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2003,34.709
Namibia,NAM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2004,35.666
Namibia,NAM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2005,36.632
Namibia,NAM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2006,37.61
Namibia,NAM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2007,38.598
Namibia,NAM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2008,39.597
Namibia,NAM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2009,40.601
Namibia,NAM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2010,41.616
Namibia,NAM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2011,42.637
Namibia,NAM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2012,43.693
Namibia,NAM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2013,44.756
Namibia,NAM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2014,45.826
Namibia,NAM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2015,46.9
Namibia,NAM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2016,47.961
Namibia,NAM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2017,49.005
Namibia,NAM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2018,50.032
Namibia,NAM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2019,51.042
Namibia,NAM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2020,52.033
Namibia,NAM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2021,53.005
Namibia,NAM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2022,53.956
Namibia,NAM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2023,54.886
Namibia,NAM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2024,55.795
