country,country_code,indicator,indicator_code,year,value
Nepal,NPL,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2004,14.5963383257351
Nepal,NPL,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2010,15.6352008846605
Nepal,NPL,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2011,13.9379082430485
Nepal,NPL,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2012,13.8393358530682
Nepal,NPL,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2013,12.6904354155292
Nepal,NPL,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2014,13.5829915227027
Nepal,NPL,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2015,13.9897984541113
Nepal,NPL,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2016,14.2271107367293
Nepal,NPL,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2017,16.8538084482168
Nepal,NPL,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2018,20.1657916960524
Nepal,NPL,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2019,21.7018652753922
Nepal,NPL,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2020,20.1647829301293
Nepal,NPL,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2021,19.4418821873399
