country,country_code,indicator,indicator_code,year,value
Nepal,NPL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1976,154105939.361808
Nepal,NPL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1977,165702361.773984
Nepal,NPL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1978,220473690.57281
Nepal,NPL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1979,251378043.597275
Nepal,NPL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1980,327951003.677675
Nepal,NPL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1981,362365881.262435
Nepal,NPL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1982,406337827.022009
Nepal,NPL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1983,468260381.891082
Nepal,NPL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1984,402900789.503843
Nepal,NPL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1985,444034739.615735
Nepal,NPL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1986,436481389.051888
Nepal,NPL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1987,512363004.443577
Nepal,NPL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1988,664860299.069168
Nepal,NPL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1989,568128593.469932
Nepal,NPL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1990,666592748.702762
Nepal,NPL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1991,756876105.620793
Nepal,NPL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1992,752056056.094167
Nepal,NPL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1993,858592006.935462
Nepal,NPL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1994,1158937087.96361
Nepal,NPL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1995,1310834576.66248
Nepal,NPL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1996,1494678668.85787
Nepal,NPL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1997,1691872531.60089
Nepal,NPL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1998,1239103937.18142
Nepal,NPL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1999,1494171119.51449
Nepal,NPL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2000,1590108862.4133
Nepal,NPL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2001,1485725274.2973
Nepal,NPL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2002,1425398101.00038
Nepal,NPL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2003,1665934404.80186
Nepal,NPL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2004,1908001848.76539
Nepal,NPL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2005,2276461352.71976
Nepal,NPL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2006,2441024153.03509
Nepal,NPL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2007,2932574156.47086
Nepal,NPL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2008,3519343419.47759
Nepal,NPL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2009,4259355805.96306
Nepal,NPL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2010,5009190070.62951
Nepal,NPL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2011,5665081713.20755
Nepal,NPL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2012,5949484817.89834
Nepal,NPL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2013,6536392557.21187
Nepal,NPL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2014,7580410927.61028
Nepal,NPL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2015,6510735868.80194
Nepal,NPL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2016,8764295997.70709
Nepal,NPL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2017,10200390539.9328
Nepal,NPL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2018,12862981205.4652
Nepal,NPL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2019,12118399368.3196
Nepal,NPL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2020,9597003835.76661
Nepal,NPL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2021,15428583285.3083
Nepal,NPL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2022,13435042739.1505
Nepal,NPL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2023,11825996819.0646
Nepal,NPL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2024,14963045332.204
