country,country_code,indicator,indicator_code,year,value
Nepal,NPL,"Population, total",SP.POP.TOTL,1960,10123658.0
Nepal,NPL,"Population, total",SP.POP.TOTL,1961,10318396.0
Nepal,NPL,"Population, total",SP.POP.TOTL,1962,10521116.0
Nepal,NPL,"Population, total",SP.POP.TOTL,1963,10729818.0
Nepal,NPL,"Population, total",SP.POP.TOTL,1964,10946392.0
Nepal,NPL,"Population, total",SP.POP.TOTL,1965,11173411.0
Nepal,NPL,"Population, total",SP.POP.TOTL,1966,11408710.0
Nepal,NPL,"Population, total",SP.POP.TOTL,1967,11652716.0
Nepal,NPL,"Population, total",SP.POP.TOTL,1968,11906266.0
Nepal,NPL,"Population, total",SP.POP.TOTL,1969,12167036.0
Nepal,NPL,"Population, total",SP.POP.TOTL,1970,12436190.0
Nepal,NPL,"Population, total",SP.POP.TOTL,1971,12710061.0
Nepal,NPL,"Population, total",SP.POP.TOTL,1972,12989099.0
Nepal,NPL,"Population, total",SP.POP.TOTL,1973,13275239.0
Nepal,NPL,"Population, total",SP.POP.TOTL,1974,13568435.0
Nepal,NPL,"Population, total",SP.POP.TOTL,1975,13870695.0
Nepal,NPL,"Population, total",SP.POP.TOTL,1976,14177649.0
Nepal,NPL,"Population, total",SP.POP.TOTL,1977,14499175.0
Nepal,NPL,"Population, total",SP.POP.TOTL,1978,14839695.0
Nepal,NPL,"Population, total",SP.POP.TOTL,1979,15190590.0
Nepal,NPL,"Population, total",SP.POP.TOTL,1980,15553105.0
Nepal,NPL,"Population, total",SP.POP.TOTL,1981,15922423.0
Nepal,NPL,"Population, total",SP.POP.TOTL,1982,16297987.0
Nepal,NPL,"Population, total",SP.POP.TOTL,1983,16689119.0
Nepal,NPL,"Population, total",SP.POP.TOTL,1984,17085242.0
Nepal,NPL,"Population, total",SP.POP.TOTL,1985,17477692.0
Nepal,NPL,"Population, total",SP.POP.TOTL,1986,17868124.0
Nepal,NPL,"Population, total",SP.POP.TOTL,1987,18250505.0
Nepal,NPL,"Population, total",SP.POP.TOTL,1988,18638661.0
Nepal,NPL,"Population, total",SP.POP.TOTL,1989,19057807.0
Nepal,NPL,"Population, total",SP.POP.TOTL,1990,19524573.0
Nepal,NPL,"Population, total",SP.POP.TOTL,1991,20036500.0
Nepal,NPL,"Population, total",SP.POP.TOTL,1992,20609707.0
Nepal,NPL,"Population, total",SP.POP.TOTL,1993,21180159.0
Nepal,NPL,"Population, total",SP.POP.TOTL,1994,21717479.0
Nepal,NPL,"Population, total",SP.POP.TOTL,1995,22245439.0
Nepal,NPL,"Population, total",SP.POP.TOTL,1996,22741862.0
Nepal,NPL,"Population, total",SP.POP.TOTL,1997,23219463.0
Nepal,NPL,"Population, total",SP.POP.TOTL,1998,23680357.0
Nepal,NPL,"Population, total",SP.POP.TOTL,1999,24125199.0
Nepal,NPL,"Population, total",SP.POP.TOTL,2000,24546509.0
Nepal,NPL,"Population, total",SP.POP.TOTL,2001,24946748.0
Nepal,NPL,"Population, total",SP.POP.TOTL,2002,25328981.0
Nepal,NPL,"Population, total",SP.POP.TOTL,2003,25688758.0
Nepal,NPL,"Population, total",SP.POP.TOTL,2004,26016656.0
Nepal,NPL,"Population, total",SP.POP.TOTL,2005,26309458.0
Nepal,NPL,"Population, total",SP.POP.TOTL,2006,26565425.0
Nepal,NPL,"Population, total",SP.POP.TOTL,2007,26788492.0
Nepal,NPL,"Population, total",SP.POP.TOTL,2008,26990037.0
Nepal,NPL,"Population, total",SP.POP.TOTL,2009,27173035.0
Nepal,NPL,"Population, total",SP.POP.TOTL,2010,27341952.0
Nepal,NPL,"Population, total",SP.POP.TOTL,2011,27464494.0
Nepal,NPL,"Population, total",SP.POP.TOTL,2012,27534915.0
Nepal,NPL,"Population, total",SP.POP.TOTL,2013,27589996.0
Nepal,NPL,"Population, total",SP.POP.TOTL,2014,27672370.0
Nepal,NPL,"Population, total",SP.POP.TOTL,2015,27823629.0
Nepal,NPL,"Population, total",SP.POP.TOTL,2016,27955462.0
Nepal,NPL,"Population, total",SP.POP.TOTL,2017,28011258.0
Nepal,NPL,"Population, total",SP.POP.TOTL,2018,28079689.0
Nepal,NPL,"Population, total",SP.POP.TOTL,2019,28414064.0
Nepal,NPL,"Population, total",SP.POP.TOTL,2020,28966574.0
Nepal,NPL,"Population, total",SP.POP.TOTL,2021,29475010.0
Nepal,NPL,"Population, total",SP.POP.TOTL,2022,29715436.0
Nepal,NPL,"Population, total",SP.POP.TOTL,2023,29694614.0
Nepal,NPL,"Population, total",SP.POP.TOTL,2024,29651054.0
