country,country_code,indicator,indicator_code,year,value
Netherlands,NLD,GDP per capita (current US$),NY.GDP.PCAP.CD,1960,1156.38597727767
Netherlands,NLD,GDP per capita (current US$),NY.GDP.PCAP.CD,1961,1254.42028262131
Netherlands,NLD,GDP per capita (current US$),NY.GDP.PCAP.CD,1962,1342.36827187015
Netherlands,NLD,GDP per capita (current US$),NY.GDP.PCAP.CD,1963,1436.88726083934
Netherlands,NLD,GDP per capita (current US$),NY.GDP.PCAP.CD,1964,1668.33086114697
Netherlands,NLD,GDP per capita (current US$),NY.GDP.PCAP.CD,1965,1848.09801532427
Netherlands,NLD,GDP per capita (current US$),NY.GDP.PCAP.CD,1966,1986.2702443166
Netherlands,NLD,GDP per capita (current US$),NY.GDP.PCAP.CD,1967,2154.57969743046
Netherlands,NLD,GDP per capita (current US$),NY.GDP.PCAP.CD,1968,2364.3594192663
Netherlands,NLD,GDP per capita (current US$),NY.GDP.PCAP.CD,1969,2646.84581766825
Netherlands,NLD,GDP per capita (current US$),NY.GDP.PCAP.CD,1970,2931.38078026525
Netherlands,NLD,GDP per capita (current US$),NY.GDP.PCAP.CD,1971,3383.58715579996
Netherlands,NLD,GDP per capita (current US$),NY.GDP.PCAP.CD,1972,4110.49164551948
Netherlands,NLD,GDP per capita (current US$),NY.GDP.PCAP.CD,1973,5353.44265154981
Netherlands,NLD,GDP per capita (current US$),NY.GDP.PCAP.CD,1974,6450.45770236493
Netherlands,NLD,GDP per capita (current US$),NY.GDP.PCAP.CD,1975,7346.3047476862
Netherlands,NLD,GDP per capita (current US$),NY.GDP.PCAP.CD,1976,7937.35246713998
Netherlands,NLD,GDP per capita (current US$),NY.GDP.PCAP.CD,1977,9180.29918461772
Netherlands,NLD,GDP per capita (current US$),NY.GDP.PCAP.CD,1978,11195.8424872959
Netherlands,NLD,GDP per capita (current US$),NY.GDP.PCAP.CD,1979,12817.3790153401
Netherlands,NLD,GDP per capita (current US$),NY.GDP.PCAP.CD,1980,13812.1600098191
Netherlands,NLD,GDP per capita (current US$),NY.GDP.PCAP.CD,1981,11537.4026865092
Netherlands,NLD,GDP per capita (current US$),NY.GDP.PCAP.CD,1982,11088.9543150885
Netherlands,NLD,GDP per capita (current US$),NY.GDP.PCAP.CD,1983,10696.0774958682
Netherlands,NLD,GDP per capita (current US$),NY.GDP.PCAP.CD,1984,9991.84377655651
Netherlands,NLD,GDP per capita (current US$),NY.GDP.PCAP.CD,1985,9940.73843593795
Netherlands,NLD,GDP per capita (current US$),NY.GDP.PCAP.CD,1986,13804.1360603265
Netherlands,NLD,GDP per capita (current US$),NY.GDP.PCAP.CD,1987,16734.1514052316
Netherlands,NLD,GDP per capita (current US$),NY.GDP.PCAP.CD,1988,17770.6162376388
Netherlands,NLD,GDP per capita (current US$),NY.GDP.PCAP.CD,1989,17423.2961585523
Netherlands,NLD,GDP per capita (current US$),NY.GDP.PCAP.CD,1990,21322.1944802703
