country,country_code,indicator,indicator_code,year,value
New Zealand,NZL,"Population, total",SP.POP.TOTL,1960,2371800.0
New Zealand,NZL,"Population, total",SP.POP.TOTL,1961,2419700.0
New Zealand,NZL,"Population, total",SP.POP.TOTL,1962,2482000.0
New Zealand,NZL,"Population, total",SP.POP.TOTL,1963,2531800.0
New Zealand,NZL,"Population, total",SP.POP.TOTL,1964,2585400.0
New Zealand,NZL,"Population, total",SP.POP.TOTL,1965,2628400.0
New Zealand,NZL,"Population, total",SP.POP.TOTL,1966,2675900.0
New Zealand,NZL,"Population, total",SP.POP.TOTL,1967,2724100.0
New Zealand,NZL,"Population, total",SP.POP.TOTL,1968,2748100.0
New Zealand,NZL,"Population, total",SP.POP.TOTL,1969,2772800.0
New Zealand,NZL,"Population, total",SP.POP.TOTL,1970,2810700.0
New Zealand,NZL,"Population, total",SP.POP.TOTL,1971,2853000.0
New Zealand,NZL,"Population, total",SP.POP.TOTL,1972,2903900.0
New Zealand,NZL,"Population, total",SP.POP.TOTL,1973,2961300.0
New Zealand,NZL,"Population, total",SP.POP.TOTL,1974,3023700.0
New Zealand,NZL,"Population, total",SP.POP.TOTL,1975,3083100.0
New Zealand,NZL,"Population, total",SP.POP.TOTL,1976,3110500.0
New Zealand,NZL,"Population, total",SP.POP.TOTL,1977,3120200.0
New Zealand,NZL,"Population, total",SP.POP.TOTL,1978,3121200.0
New Zealand,NZL,"Population, total",SP.POP.TOTL,1979,3109000.0
New Zealand,NZL,"Population, total",SP.POP.TOTL,1980,3112900.0
New Zealand,NZL,"Population, total",SP.POP.TOTL,1981,3124900.0
New Zealand,NZL,"Population, total",SP.POP.TOTL,1982,3156100.0
New Zealand,NZL,"Population, total",SP.POP.TOTL,1983,3199300.0
New Zealand,NZL,"Population, total",SP.POP.TOTL,1984,3227100.0
New Zealand,NZL,"Population, total",SP.POP.TOTL,1985,3247100.0
New Zealand,NZL,"Population, total",SP.POP.TOTL,1986,3246300.0
New Zealand,NZL,"Population, total",SP.POP.TOTL,1987,3274400.0
New Zealand,NZL,"Population, total",SP.POP.TOTL,1988,3283400.0
New Zealand,NZL,"Population, total",SP.POP.TOTL,1989,3299200.0
New Zealand,NZL,"Population, total",SP.POP.TOTL,1990,3329800.0
New Zealand,NZL,"Population, total",SP.POP.TOTL,1991,3495100.0
New Zealand,NZL,"Population, total",SP.POP.TOTL,1992,3531700.0
New Zealand,NZL,"Population, total",SP.POP.TOTL,1993,3572200.0
New Zealand,NZL,"Population, total",SP.POP.TOTL,1994,3620000.0
New Zealand,NZL,"Population, total",SP.POP.TOTL,1995,3673400.0
New Zealand,NZL,"Population, total",SP.POP.TOTL,1996,3732000.0
New Zealand,NZL,"Population, total",SP.POP.TOTL,1997,3781300.0
New Zealand,NZL,"Population, total",SP.POP.TOTL,1998,3815000.0
New Zealand,NZL,"Population, total",SP.POP.TOTL,1999,3835100.0
New Zealand,NZL,"Population, total",SP.POP.TOTL,2000,3857700.0
New Zealand,NZL,"Population, total",SP.POP.TOTL,2001,3880500.0
New Zealand,NZL,"Population, total",SP.POP.TOTL,2002,3948500.0
New Zealand,NZL,"Population, total",SP.POP.TOTL,2003,4027200.0
New Zealand,NZL,"Population, total",SP.POP.TOTL,2004,4087500.0
New Zealand,NZL,"Population, total",SP.POP.TOTL,2005,4133900.0
New Zealand,NZL,"Population, total",SP.POP.TOTL,2006,4184600.0
New Zealand,NZL,"Population, total",SP.POP.TOTL,2007,4223800.0
New Zealand,NZL,"Population, total",SP.POP.TOTL,2008,4259800.0
New Zealand,NZL,"Population, total",SP.POP.TOTL,2009,4302600.0
New Zealand,NZL,"Population, total",SP.POP.TOTL,2010,4350700.0
New Zealand,NZL,"Population, total",SP.POP.TOTL,2011,4384000.0
New Zealand,NZL,"Population, total",SP.POP.TOTL,2012,4408100.0
New Zealand,NZL,"Population, total",SP.POP.TOTL,2013,4442100.0
New Zealand,NZL,"Population, total",SP.POP.TOTL,2014,4516500.0
New Zealand,NZL,"Population, total",SP.POP.TOTL,2015,4609400.0
New Zealand,NZL,"Population, total",SP.POP.TOTL,2016,4714100.0
New Zealand,NZL,"Population, total",SP.POP.TOTL,2017,4813600.0
New Zealand,NZL,"Population, total",SP.POP.TOTL,2018,4900600.0
New Zealand,NZL,"Population, total",SP.POP.TOTL,2019,4979200.0
New Zealand,NZL,"Population, total",SP.POP.TOTL,2020,5090200.0
New Zealand,NZL,"Population, total",SP.POP.TOTL,2021,5111300.0
New Zealand,NZL,"Population, total",SP.POP.TOTL,2022,5117100.0
New Zealand,NZL,"Population, total",SP.POP.TOTL,2023,5245000.0
New Zealand,NZL,"Population, total",SP.POP.TOTL,2024,5338500.0
