country,country_code,indicator,indicator_code,year,value
Nicaragua,NIC,GDP (current US$),NY.GDP.MKTP.CD,1960,227223322.141537
Nicaragua,NIC,GDP (current US$),NY.GDP.MKTP.CD,1961,244144236.65331
Nicaragua,NIC,GDP (current US$),NY.GDP.MKTP.CD,1962,269283803.686825
Nicaragua,NIC,GDP (current US$),NY.GDP.MKTP.CD,1963,297324163.095513
Nicaragua,NIC,GDP (current US$),NY.GDP.MKTP.CD,1964,347119918.158577
Nicaragua,NIC,GDP (current US$),NY.GDP.MKTP.CD,1965,564290020.384288
Nicaragua,NIC,GDP (current US$),NY.GDP.MKTP.CD,1966,607140010.475682
Nicaragua,NIC,GDP (current US$),NY.GDP.MKTP.CD,1967,657140010.747554
Nicaragua,NIC,GDP (current US$),NY.GDP.MKTP.CD,1968,692859984.612158
Nicaragua,NIC,GDP (current US$),NY.GDP.MKTP.CD,1969,750000002.894903
Nicaragua,NIC,GDP (current US$),NY.GDP.MKTP.CD,1970,778569938.824225
Nicaragua,NIC,GDP (current US$),NY.GDP.MKTP.CD,1971,828569953.4744
Nicaragua,NIC,GDP (current US$),NY.GDP.MKTP.CD,1972,878570045.450998
Nicaragua,NIC,GDP (current US$),NY.GDP.MKTP.CD,1973,1092900014.79168
Nicaragua,NIC,GDP (current US$),NY.GDP.MKTP.CD,1974,1521400011.53463
Nicaragua,NIC,GDP (current US$),NY.GDP.MKTP.CD,1975,1581599958.5989
Nicaragua,NIC,GDP (current US$),NY.GDP.MKTP.CD,1976,1836899998.94579
Nicaragua,NIC,GDP (current US$),NY.GDP.MKTP.CD,1977,2226999873.71856
Nicaragua,NIC,GDP (current US$),NY.GDP.MKTP.CD,1978,2127699978.78077
Nicaragua,NIC,GDP (current US$),NY.GDP.MKTP.CD,1979,1567599981.69806
Nicaragua,NIC,GDP (current US$),NY.GDP.MKTP.CD,1980,2144300006.18028
Nicaragua,NIC,GDP (current US$),NY.GDP.MKTP.CD,1981,2474700227.04662
Nicaragua,NIC,GDP (current US$),NY.GDP.MKTP.CD,1982,2454499872.03789
Nicaragua,NIC,GDP (current US$),NY.GDP.MKTP.CD,1983,2753100057.78802
Nicaragua,NIC,GDP (current US$),NY.GDP.MKTP.CD,1984,3117599872.08764
Nicaragua,NIC,GDP (current US$),NY.GDP.MKTP.CD,1985,2683699935.36479
Nicaragua,NIC,GDP (current US$),NY.GDP.MKTP.CD,1986,2885799993.91571
Nicaragua,NIC,GDP (current US$),NY.GDP.MKTP.CD,1987,3851200117.77355
Nicaragua,NIC,GDP (current US$),NY.GDP.MKTP.CD,1988,2630900095.60219
Nicaragua,NIC,GDP (current US$),NY.GDP.MKTP.CD,1989,1013184755.57026
Nicaragua,NIC,GDP (current US$),NY.GDP.MKTP.CD,1990,1009455483.87097
Nicaragua,NIC,GDP (current US$),NY.GDP.MKTP.CD,1991,1488804123.71134
Nicaragua,NIC,GDP (current US$),NY.GDP.MKTP.CD,1992,1792800000.0
Nicaragua,NIC,GDP (current US$),NY.GDP.MKTP.CD,1993,1756454248.36601
