country,country_code,indicator,indicator_code,year,value
Niger,NER,"Labor force, total",SL.TLF.TOTL.IN,1990,3469107.0
Niger,NER,"Labor force, total",SL.TLF.TOTL.IN,1991,3581080.0
Niger,NER,"Labor force, total",SL.TLF.TOTL.IN,1992,3696747.0
Niger,NER,"Labor force, total",SL.TLF.TOTL.IN,1993,3817344.0
Niger,NER,"Labor force, total",SL.TLF.TOTL.IN,1994,3943626.0
Niger,NER,"Labor force, total",SL.TLF.TOTL.IN,1995,4077063.0
Niger,NER,"Labor force, total",SL.TLF.TOTL.IN,1996,4213435.0
Niger,NER,"Labor force, total",SL.TLF.TOTL.IN,1997,4348766.0
Niger,NER,"Labor force, total",SL.TLF.TOTL.IN,1998,4488810.0
Niger,NER,"Labor force, total",SL.TLF.TOTL.IN,1999,4633794.0
Niger,NER,"Labor force, total",SL.TLF.TOTL.IN,2000,4782877.0
Niger,NER,"Labor force, total",SL.TLF.TOTL.IN,2001,4937713.0
Niger,NER,"Labor force, total",SL.TLF.TOTL.IN,2002,5097469.0
Niger,NER,"Labor force, total",SL.TLF.TOTL.IN,2003,5263018.0
Niger,NER,"Labor force, total",SL.TLF.TOTL.IN,2004,5435132.0
Niger,NER,"Labor force, total",SL.TLF.TOTL.IN,2005,5614975.0
Niger,NER,"Labor force, total",SL.TLF.TOTL.IN,2006,5803474.0
Niger,NER,"Labor force, total",SL.TLF.TOTL.IN,2007,6001076.0
Niger,NER,"Labor force, total",SL.TLF.TOTL.IN,2008,6208928.0
Niger,NER,"Labor force, total",SL.TLF.TOTL.IN,2009,6427874.0
Niger,NER,"Labor force, total",SL.TLF.TOTL.IN,2010,6659147.0
Niger,NER,"Labor force, total",SL.TLF.TOTL.IN,2011,6903571.0
Niger,NER,"Labor force, total",SL.TLF.TOTL.IN,2012,7001266.0
Niger,NER,"Labor force, total",SL.TLF.TOTL.IN,2013,7090590.0
Niger,NER,"Labor force, total",SL.TLF.TOTL.IN,2014,7163554.0
Niger,NER,"Labor force, total",SL.TLF.TOTL.IN,2015,7439553.0
Niger,NER,"Labor force, total",SL.TLF.TOTL.IN,2016,7731418.0
Niger,NER,"Labor force, total",SL.TLF.TOTL.IN,2017,8028413.0
Niger,NER,"Labor force, total",SL.TLF.TOTL.IN,2018,8332318.0
Niger,NER,"Labor force, total",SL.TLF.TOTL.IN,2019,8646428.0
Niger,NER,"Labor force, total",SL.TLF.TOTL.IN,2020,8903463.0
Niger,NER,"Labor force, total",SL.TLF.TOTL.IN,2021,9267433.0
Niger,NER,"Labor force, total",SL.TLF.TOTL.IN,2022,9686312.0
Niger,NER,"Labor force, total",SL.TLF.TOTL.IN,2023,10094779.0
Niger,NER,"Labor force, total",SL.TLF.TOTL.IN,2024,10486041.0
