country,country_code,indicator,indicator_code,year,value
Oman,OMN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1974,551534454.405137
Oman,OMN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1975,907932834.128352
Oman,OMN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1976,1000000002.89519
Oman,OMN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1977,1044006951.48815
Oman,OMN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1978,1157209036.35556
Oman,OMN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1979,1285176610.55349
Oman,OMN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1980,1779965262.82561
Oman,OMN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1981,2296178350.59693
Oman,OMN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1982,2582513035.84978
Oman,OMN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1983,2360451657.09453
Oman,OMN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1984,2639567458.07315
Oman,OMN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1985,3027837693.07604
Oman,OMN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1986,2309009828.78116
Oman,OMN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1987,1768530559.16775
Oman,OMN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1988,2106631989.59688
Oman,OMN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1989,2225487646.29389
Oman,OMN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1990,2623407022.10663
Oman,OMN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1991,3111833550.06502
Oman,OMN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1992,3626788036.41092
Oman,OMN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1993,4029908972.69181
Oman,OMN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1994,3693107932.37971
Oman,OMN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1995,4049934980.49415
Oman,OMN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1996,4230999944.98049
Oman,OMN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1997,4644999939.59688
Oman,OMN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1998,5212999966.10533
Oman,OMN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1999,4298999972.04811
Oman,OMN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2000,4593000000.0
Oman,OMN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2001,5308192457.73732
Oman,OMN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2002,5633289986.9961
Oman,OMN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2003,6085825747.72432
Oman,OMN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2004,7872561768.53056
Oman,OMN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2005,8028608582.57477
Oman,OMN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2006,9881079323.79714
Oman,OMN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2007,14343276983.0949
Oman,OMN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2008,20707204161.2484
Oman,OMN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2009,16051807542.2627
Oman,OMN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2010,17874395318.5956
Oman,OMN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2011,21496759427.8284
Oman,OMN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2012,25628889466.84
Oman,OMN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2013,32043088582.5748
Oman,OMN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2014,27889070221.0663
Oman,OMN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2015,26563679141.7425
Oman,OMN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2016,21286568270.4811
Oman,OMN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2017,24121339458.2445
Oman,OMN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2018,23646293888.1665
Oman,OMN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2019,20456783394.0182
Oman,OMN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2020,25364089923.5726
Oman,OMN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2021,28023772992.6614
Oman,OMN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2022,34747048438.1298
Oman,OMN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2023,35169193758.1274
