country,country_code,indicator,indicator_code,year,value
Pakistan,PAK,Battle-related deaths (number of people),VC.BTL.DETH,1990,73.0
Pakistan,PAK,Battle-related deaths (number of people),VC.BTL.DETH,1991,27.0
Pakistan,PAK,Battle-related deaths (number of people),VC.BTL.DETH,1993,0.0
Pakistan,PAK,Battle-related deaths (number of people),VC.BTL.DETH,1994,74.0
Pakistan,PAK,Battle-related deaths (number of people),VC.BTL.DETH,1995,69.0
Pakistan,PAK,Battle-related deaths (number of people),VC.BTL.DETH,1996,47.0
Pakistan,PAK,Battle-related deaths (number of people),VC.BTL.DETH,1997,45.0
Pakistan,PAK,Battle-related deaths (number of people),VC.BTL.DETH,1998,52.0
Pakistan,PAK,Battle-related deaths (number of people),VC.BTL.DETH,1999,32.0
Pakistan,PAK,Battle-related deaths (number of people),VC.BTL.DETH,2000,116.0
Pakistan,PAK,Battle-related deaths (number of people),VC.BTL.DETH,2001,36.0
Pakistan,PAK,Battle-related deaths (number of people),VC.BTL.DETH,2002,148.0
Pakistan,PAK,Battle-related deaths (number of people),VC.BTL.DETH,2003,175.0
Pakistan,PAK,Battle-related deaths (number of people),VC.BTL.DETH,2004,359.0
Pakistan,PAK,Battle-related deaths (number of people),VC.BTL.DETH,2005,110.0
Pakistan,PAK,Battle-related deaths (number of people),VC.BTL.DETH,2006,419.0
Pakistan,PAK,Battle-related deaths (number of people),VC.BTL.DETH,2007,759.0
Pakistan,PAK,Battle-related deaths (number of people),VC.BTL.DETH,2008,3538.0
Pakistan,PAK,Battle-related deaths (number of people),VC.BTL.DETH,2009,6916.0
Pakistan,PAK,Battle-related deaths (number of people),VC.BTL.DETH,2010,6077.0
Pakistan,PAK,Battle-related deaths (number of people),VC.BTL.DETH,2011,2863.0
Pakistan,PAK,Battle-related deaths (number of people),VC.BTL.DETH,2012,3018.0
Pakistan,PAK,Battle-related deaths (number of people),VC.BTL.DETH,2013,1817.0
Pakistan,PAK,Battle-related deaths (number of people),VC.BTL.DETH,2014,3154.0
Pakistan,PAK,Battle-related deaths (number of people),VC.BTL.DETH,2015,2126.0
Pakistan,PAK,Battle-related deaths (number of people),VC.BTL.DETH,2016,796.0
Pakistan,PAK,Battle-related deaths (number of people),VC.BTL.DETH,2017,701.0
Pakistan,PAK,Battle-related deaths (number of people),VC.BTL.DETH,2018,228.0
Pakistan,PAK,Battle-related deaths (number of people),VC.BTL.DETH,2019,267.0
Pakistan,PAK,Battle-related deaths (number of people),VC.BTL.DETH,2020,373.0
Pakistan,PAK,Battle-related deaths (number of people),VC.BTL.DETH,2021,416.0
Pakistan,PAK,Battle-related deaths (number of people),VC.BTL.DETH,2022,630.0
Pakistan,PAK,Battle-related deaths (number of people),VC.BTL.DETH,2023,1034.0
