country,country_code,indicator,indicator_code,year,value
Palau,PLW,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2008,50.2409869794942
Palau,PLW,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2009,50.6110669585996
Palau,PLW,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2010,49.9836704587183
Palau,PLW,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2011,52.5934901462686
Palau,PLW,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2012,53.629126280973
Palau,PLW,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2013,48.7441389069226
Palau,PLW,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2014,46.4558714243707
Palau,PLW,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2015,40.2555877506093
Palau,PLW,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2016,41.3941473116949
Palau,PLW,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2017,42.279293767507
Palau,PLW,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2018,40.6438491846889
Palau,PLW,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2019,42.4270334707613
Palau,PLW,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2020,58.9536047805559
