country,country_code,indicator,indicator_code,year,value
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,1960,537147100.0
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,1961,599026300.0
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,1962,652120900.0
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,1963,722784500.0
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,1964,776137500.0
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,1965,852485300.0
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,1966,928833000.0
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,1967,1034376400.0
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,1968,1112791100.0
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,1969,1221305700.0
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,1970,1351006400.0
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,1971,1523917200.0
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,1972,1673411700.0
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,1973,1913793400.0
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,1974,2188307600.0
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,1975,2435304100.0
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,1976,2588106000.0
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,1977,2738261900.0
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,1978,3244558600.0
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,1979,3704551600.0
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,1980,4614086400.0
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,1981,5222421500.0
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,1982,5769767900.0
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,1983,5923755900.0
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,1984,6183387100.0
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,1985,6541517100.0
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,1986,6797834200.0
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,1987,6827665300.0
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,1988,5902783400.0
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,1989,5918469800.0
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,1990,6433967000.0
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,1991,7074675500.0
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,1992,8042337700.0
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,1993,8782585400.0
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,1994,9365289800.0
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,1995,9573813700.0
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,1996,9197503300.0
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,1997,10058854400.0
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,1998,11019557700.0
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,1999,11660704800.0
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,2000,11966497000.0
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,2001,12252906300.0
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,2002,12800851300.0
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,2003,13603456000.0
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,2004,15100203400.0
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,2005,16623906700.0
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,2006,18659721500.0
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,2007,21717433800.0
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,2008,25721328000.0
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,2009,27791215500.0
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,2010,30231009500.0
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,2011,35687738300.0
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,2012,41595439700.0
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,2013,46949496500.0
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,2014,51427104900.0
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,2015,55767806100.0
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,2016,59760858700.0
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,2017,64327688800.0
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,2018,67316471200.0
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,2019,69778991200.0
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,2020,57059846500.0
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,2021,67396392500.0
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,2022,76276116700.0
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,2023,83318176900.0
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,2024,86260400000.0
