country,country_code,indicator,indicator_code,year,value
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,1960,1995110.0
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,1961,2046127.0
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,1962,2093919.0
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,1963,2141376.0
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,1964,2188325.0
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,1965,2235820.0
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,1966,2285774.0
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,1967,2337532.0
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,1968,2390803.0
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,1969,2446927.0
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,1970,2505628.0
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,1971,2566421.0
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,1972,2628432.0
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,1973,2690629.0
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,1974,2752671.0
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,1975,2814820.0
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,1976,2877327.0
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,1977,2940327.0
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,1978,3003714.0
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,1979,3067341.0
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,1980,3131512.0
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,1981,3197019.0
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,1982,3264291.0
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,1983,3333633.0
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,1984,3405198.0
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,1985,3478936.0
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,1986,3554793.0
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,1987,3632543.0
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,1988,3711880.0
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,1989,3796078.0
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,1990,3896481.0
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,1991,4021837.0
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,1992,4166699.0
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,1993,4320872.0
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,1994,4480208.0
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,1995,4644278.0
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,1996,4813361.0
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,1997,4987883.0
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,1998,5166390.0
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,1999,5349333.0
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,2000,5537064.0
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,2001,5728435.0
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,2002,5924003.0
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,2003,6123997.0
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,2004,6328041.0
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,2005,6535905.0
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,2006,6747720.0
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,2007,6963345.0
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,2008,7183002.0
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,2009,7406438.0
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,2010,7633523.0
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,2011,7859346.0
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,2012,8081390.0
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,2013,8302698.0
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,2014,8523441.0
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,2015,8743246.0
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,2016,8961718.0
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,2017,9178714.0
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,2018,9394513.0
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,2019,9609010.0
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,2020,9815746.0
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,2021,10012896.0
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,2022,10203169.0
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,2023,10389635.0
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,2024,10576502.0
