country,country_code,indicator,indicator_code,year,value
Paraguay,PRY,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2005,8.26476450440432
Paraguay,PRY,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2006,8.35050418277665
Paraguay,PRY,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2007,7.83787789139878
Paraguay,PRY,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2008,8.09407229993163
Paraguay,PRY,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2009,8.32758281699924
Paraguay,PRY,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2010,8.87121347606682
Paraguay,PRY,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2011,9.36683510297004
Paraguay,PRY,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2012,9.45777835121958
Paraguay,PRY,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2013,8.92936256761543
Paraguay,PRY,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2014,9.74517637965316
Paraguay,PRY,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2015,9.64227469729351
Paraguay,PRY,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2016,9.55906333660439
Paraguay,PRY,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2017,9.95647441372393
Paraguay,PRY,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2018,10.0750585766838
Paraguay,PRY,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2019,9.99575607479091
Paraguay,PRY,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2020,9.5149992858083
Paraguay,PRY,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2021,9.794253597875
Paraguay,PRY,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2022,10.2661363911399
Paraguay,PRY,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2023,10.1382749910518
