country,country_code,indicator,indicator_code,year,value
Peru,PER,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2000,4.41482639
Peru,PER,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2001,4.72161007
Peru,PER,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2002,4.93902588
Peru,PER,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2003,4.58703804
Peru,PER,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2004,4.42972279
Peru,PER,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2005,4.66598511
Peru,PER,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2006,4.409585
Peru,PER,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2007,4.42611313
Peru,PER,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2008,4.53154564
Peru,PER,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2009,4.96264839
Peru,PER,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2010,4.71338701
Peru,PER,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2011,4.53380108
Peru,PER,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2012,4.7344017
Peru,PER,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2013,4.72346115
Peru,PER,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2014,4.93103409
Peru,PER,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2015,4.92147398
Peru,PER,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2016,4.91142178
Peru,PER,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2017,4.82783127
Peru,PER,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2018,5.09981441
Peru,PER,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2019,5.1381588
Peru,PER,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2020,6.36273861
Peru,PER,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2021,6.67921352
Peru,PER,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2022,6.0930872
