country,country_code,indicator,indicator_code,year,value
Philippines,PHL,Battle-related deaths (number of people),VC.BTL.DETH,1989,937.0
Philippines,PHL,Battle-related deaths (number of people),VC.BTL.DETH,1990,1316.0
Philippines,PHL,Battle-related deaths (number of people),VC.BTL.DETH,1991,1515.0
Philippines,PHL,Battle-related deaths (number of people),VC.BTL.DETH,1992,430.0
Philippines,PHL,Battle-related deaths (number of people),VC.BTL.DETH,1993,253.0
Philippines,PHL,Battle-related deaths (number of people),VC.BTL.DETH,1994,265.0
Philippines,PHL,Battle-related deaths (number of people),VC.BTL.DETH,1995,152.0
Philippines,PHL,Battle-related deaths (number of people),VC.BTL.DETH,1996,180.0
Philippines,PHL,Battle-related deaths (number of people),VC.BTL.DETH,1997,302.0
Philippines,PHL,Battle-related deaths (number of people),VC.BTL.DETH,1998,93.0
Philippines,PHL,Battle-related deaths (number of people),VC.BTL.DETH,1999,199.0
Philippines,PHL,Battle-related deaths (number of people),VC.BTL.DETH,2000,1567.0
Philippines,PHL,Battle-related deaths (number of people),VC.BTL.DETH,2001,1001.0
Philippines,PHL,Battle-related deaths (number of people),VC.BTL.DETH,2002,662.0
Philippines,PHL,Battle-related deaths (number of people),VC.BTL.DETH,2003,1051.0
Philippines,PHL,Battle-related deaths (number of people),VC.BTL.DETH,2004,339.0
Philippines,PHL,Battle-related deaths (number of people),VC.BTL.DETH,2005,470.0
Philippines,PHL,Battle-related deaths (number of people),VC.BTL.DETH,2006,360.0
Philippines,PHL,Battle-related deaths (number of people),VC.BTL.DETH,2007,439.0
Philippines,PHL,Battle-related deaths (number of people),VC.BTL.DETH,2008,481.0
Philippines,PHL,Battle-related deaths (number of people),VC.BTL.DETH,2009,894.0
Philippines,PHL,Battle-related deaths (number of people),VC.BTL.DETH,2010,332.0
Philippines,PHL,Battle-related deaths (number of people),VC.BTL.DETH,2011,350.0
Philippines,PHL,Battle-related deaths (number of people),VC.BTL.DETH,2012,295.0
Philippines,PHL,Battle-related deaths (number of people),VC.BTL.DETH,2013,514.0
Philippines,PHL,Battle-related deaths (number of people),VC.BTL.DETH,2014,470.0
Philippines,PHL,Battle-related deaths (number of people),VC.BTL.DETH,2015,572.0
Philippines,PHL,Battle-related deaths (number of people),VC.BTL.DETH,2016,550.0
Philippines,PHL,Battle-related deaths (number of people),VC.BTL.DETH,2017,1623.0
Philippines,PHL,Battle-related deaths (number of people),VC.BTL.DETH,2018,420.0
Philippines,PHL,Battle-related deaths (number of people),VC.BTL.DETH,2019,309.0
Philippines,PHL,Battle-related deaths (number of people),VC.BTL.DETH,2020,348.0
Philippines,PHL,Battle-related deaths (number of people),VC.BTL.DETH,2021,266.0
Philippines,PHL,Battle-related deaths (number of people),VC.BTL.DETH,2022,207.0
Philippines,PHL,Battle-related deaths (number of people),VC.BTL.DETH,2023,234.0
