country,country_code,indicator,indicator_code,year,value
Puerto Rico (US),PRI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1960,59.6075418168923
Puerto Rico (US),PRI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1963,60.3959547480288
Puerto Rico (US),PRI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1964,61.6922777669714
Puerto Rico (US),PRI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1965,62.734686795072
Puerto Rico (US),PRI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1966,63.8542816590443
Puerto Rico (US),PRI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1967,63.0905539672205
Puerto Rico (US),PRI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1968,62.5669127533805
Puerto Rico (US),PRI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1969,62.5686551438115
Puerto Rico (US),PRI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1970,63.3324726398792
Puerto Rico (US),PRI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1971,60.7370546150032
Puerto Rico (US),PRI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1972,61.4624974324132
Puerto Rico (US),PRI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1973,62.6599451616589
Puerto Rico (US),PRI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1974,61.0152508848636
Puerto Rico (US),PRI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1975,64.1401266116146
Puerto Rico (US),PRI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1976,62.3307985638784
Puerto Rico (US),PRI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1977,61.7623021118163
Puerto Rico (US),PRI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1978,60.3555754590237
Puerto Rico (US),PRI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1979,58.6133333333333
Puerto Rico (US),PRI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1980,56.9004093903478
Puerto Rico (US),PRI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1981,55.4936480380052
Puerto Rico (US),PRI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1982,56.7041672134668
Puerto Rico (US),PRI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1983,57.9778428626003
Puerto Rico (US),PRI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1984,57.0637596150836
Puerto Rico (US),PRI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1985,57.1614454980975
Puerto Rico (US),PRI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1986,57.1099489761146
Puerto Rico (US),PRI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1987,57.5885090194707
Puerto Rico (US),PRI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1988,57.2038748114516
Puerto Rico (US),PRI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1989,56.9680979503714
Puerto Rico (US),PRI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1990,57.0015232362888
Puerto Rico (US),PRI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1991,57.7755198364322
Puerto Rico (US),PRI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1992,56.7960028217957
Puerto Rico (US),PRI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1993,51.4562194887577
Puerto Rico (US),PRI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1994,56.2719714955394
Puerto Rico (US),PRI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1995,56.6487970841599
Puerto Rico (US),PRI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1996,57.0657774608694
Puerto Rico (US),PRI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1997,57.9537580634494
Puerto Rico (US),PRI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1998,55.3041060229559
Puerto Rico (US),PRI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1999,55.2827579052921
Puerto Rico (US),PRI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2000,52.3292675416276
Puerto Rico (US),PRI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2001,50.0426248836846
Puerto Rico (US),PRI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2002,49.8127011385928
Puerto Rico (US),PRI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2003,50.2422909255166
Puerto Rico (US),PRI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2004,49.5255907284443
Puerto Rico (US),PRI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2005,52.0048766577424
Puerto Rico (US),PRI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2006,52.2955881640463
Puerto Rico (US),PRI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2007,53.2596976344197
Puerto Rico (US),PRI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2008,52.3815321131192
Puerto Rico (US),PRI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2009,49.5122715426371
Puerto Rico (US),PRI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2010,48.5622775873057
Puerto Rico (US),PRI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2011,48.8661377933807
Puerto Rico (US),PRI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2012,48.9893151958159
Puerto Rico (US),PRI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2013,49.5143972669595
Puerto Rico (US),PRI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2014,48.9901977435873
Puerto Rico (US),PRI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2015,47.8759473956595
Puerto Rico (US),PRI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2016,48.3474175433956
Puerto Rico (US),PRI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2017,48.4410244227869
Puerto Rico (US),PRI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2018,49.0894737519823
Puerto Rico (US),PRI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2019,47.7835253561427
Puerto Rico (US),PRI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2020,49.5799028225294
Puerto Rico (US),PRI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2021,49.1100908983281
Puerto Rico (US),PRI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2022,50.8816034615881
Puerto Rico (US),PRI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2023,52.1246040126716
Puerto Rico (US),PRI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2024,51.5371320271929
