country,country_code,indicator,indicator_code,year,value
Romania,ROU,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1990,45.8794731320667
Romania,ROU,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1991,42.2387585643632
Romania,ROU,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1992,43.140051748159
Romania,ROU,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1993,39.0371235488476
Romania,ROU,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1994,42.7328370033037
Romania,ROU,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1995,36.3900349512522
Romania,ROU,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1996,37.7951649586835
Romania,ROU,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1997,36.0026039113572
Romania,ROU,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1998,32.2122152957358
Romania,ROU,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1999,30.3919719045684
Romania,ROU,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2000,30.2634621400688
Romania,ROU,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2001,32.337206984498
Romania,ROU,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2002,33.3269850234614
Romania,ROU,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2003,32.0484937285585
Romania,ROU,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2004,31.8347873600822
Romania,ROU,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2005,32.2658742760889
Romania,ROU,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2006,32.9782770932418
Romania,ROU,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2007,34.2821825497409
Romania,ROU,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2008,36.7743706646186
Romania,ROU,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2009,36.4231420350652
Romania,ROU,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2010,38.3073286489437
Romania,ROU,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2011,40.2099159620935
Romania,ROU,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2012,34.4276463515754
Romania,ROU,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2013,32.072608504292
Romania,ROU,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2014,32.5700211539755
Romania,ROU,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2015,30.811807082352
Romania,ROU,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2016,30.1213847463155
Romania,ROU,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2017,29.1130933187854
Romania,ROU,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2018,28.9118660009172
Romania,ROU,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2019,27.6280376520057
Romania,ROU,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2020,26.4873422514377
Romania,ROU,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2021,26.0798594429787
Romania,ROU,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2022,27.3352765482745
Romania,ROU,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2023,26.6873286907141
Romania,ROU,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2024,25.0269527322707
