country,country_code,indicator,indicator_code,year,value
Samoa,WSM,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2012,20.5386088005112
Samoa,WSM,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2013,22.6941862778156
Samoa,WSM,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2014,23.6829224198467
Samoa,WSM,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2015,22.5386594198963
Samoa,WSM,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2016,22.9707859903819
Samoa,WSM,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2017,23.4832839094525
Samoa,WSM,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2018,23.8815118577505
Samoa,WSM,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2019,24.3947483390575
Samoa,WSM,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2020,24.4226155403891
Samoa,WSM,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2021,25.0289647765654
Samoa,WSM,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2022,25.64996759973
Samoa,WSM,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2023,26.6813295009409
