country,country_code,indicator,indicator_code,year,value
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,1960,68012.0
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,1961,68707.0
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,1962,69403.0
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,1963,70112.0
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,1964,70865.0
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,1965,71680.0
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,1966,72576.0
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,1967,73596.0
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,1968,74765.0
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,1969,76083.0
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,1970,77626.0
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,1971,79330.0
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,1972,81041.0
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,1973,82798.0
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,1974,84672.0
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,1975,86708.0
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,1976,88922.0
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,1977,91301.0
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,1978,93794.0
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,1979,96252.0
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,1980,98544.0
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,1981,100615.0
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,1982,102508.0
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,1983,104380.0
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,1984,106394.0
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,1985,108658.0
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,1986,111150.0
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,1987,113919.0
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,1988,116939.0
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,1989,119979.0
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,1990,122980.0
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,1991,125697.0
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,1992,128110.0
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,1993,130467.0
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,1994,132732.0
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,1995,134895.0
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,1996,136962.0
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,1997,138922.0
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,1998,140751.0
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,1999,142442.0
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,2000,144018.0
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,2001,146375.0
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,2002,149922.0
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,2003,153814.0
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,2004,157705.0
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,2005,161639.0
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,2006,165638.0
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,2007,169700.0
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,2008,173793.0
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,2009,177853.0
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,2010,181802.0
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,2011,185649.0
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,2012,189439.0
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,2013,193148.0
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,2014,196767.0
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,2015,200291.0
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,2016,203689.0
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,2017,206970.0
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,2018,210187.0
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,2019,213392.0
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,2020,217435.0
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,2021,221961.0
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,2022,226305.0
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,2023,230871.0
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,2024,235536.0
