country,country_code,indicator,indicator_code,year,value
Sao Tome and Principe,STP,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2008,65.4363775145141
Sao Tome and Principe,STP,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2009,63.6217310603011
Sao Tome and Principe,STP,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2010,58.8777025062673
Sao Tome and Principe,STP,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2011,63.3508233649737
Sao Tome and Principe,STP,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2012,64.6704012271183
Sao Tome and Principe,STP,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2013,63.9859753932625
Sao Tome and Principe,STP,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2014,64.9070620620521
Sao Tome and Principe,STP,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2015,64.6737413374378
Sao Tome and Principe,STP,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2016,67.8444117003118
Sao Tome and Principe,STP,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2017,69.225466081866
Sao Tome and Principe,STP,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2018,70.5648347801893
Sao Tome and Principe,STP,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2019,72.4954780922217
Sao Tome and Principe,STP,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2020,70.9979029989113
Sao Tome and Principe,STP,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2021,71.6060141989989
Sao Tome and Principe,STP,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2022,74.8355257973595
Sao Tome and Principe,STP,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2023,75.8704271854858
Sao Tome and Principe,STP,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2024,76.6215071890522
