country,country_code,indicator,indicator_code,year,value
Sao Tome and Principe,STP,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1960,16.073
Sao Tome and Principe,STP,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1961,16.805
Sao Tome and Principe,STP,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1962,17.969
Sao Tome and Principe,STP,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1963,19.194
Sao Tome and Principe,STP,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1964,20.484
Sao Tome and Principe,STP,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1965,21.833
Sao Tome and Principe,STP,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1966,23.247
Sao Tome and Principe,STP,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1967,24.724
Sao Tome and Principe,STP,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1968,26.264
Sao Tome and Principe,STP,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1969,27.861
Sao Tome and Principe,STP,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1970,29.518
Sao Tome and Principe,STP,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1971,30.205
Sao Tome and Principe,STP,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1972,30.561
Sao Tome and Principe,STP,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1973,30.917
Sao Tome and Principe,STP,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1974,31.277
Sao Tome and Principe,STP,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1975,31.639
Sao Tome and Principe,STP,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1976,32.004
Sao Tome and Principe,STP,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1977,32.37
Sao Tome and Principe,STP,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1978,32.738
Sao Tome and Principe,STP,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1979,33.109
Sao Tome and Principe,STP,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1980,33.482
Sao Tome and Principe,STP,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1981,33.857
Sao Tome and Principe,STP,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1982,34.826
