country,country_code,indicator,indicator_code,year,value
Saudi Arabia,SAU,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2010,24.4346201900162
Saudi Arabia,SAU,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2011,22.8756134235045
Saudi Arabia,SAU,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2012,25.2980404620107
Saudi Arabia,SAU,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2013,25.3542942107349
Saudi Arabia,SAU,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2014,27.8187317401037
Saudi Arabia,SAU,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2015,30.4187125812982
Saudi Arabia,SAU,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2016,26.940531690074
Saudi Arabia,SAU,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2017,25.9809738148926
Saudi Arabia,SAU,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2018,26.7955295916704
Saudi Arabia,SAU,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2019,26.7097064575879
Saudi Arabia,SAU,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2020,31.9689061537757
Saudi Arabia,SAU,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2021,25.0127399358585
Saudi Arabia,SAU,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2022,21.9700445283442
Saudi Arabia,SAU,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2023,24.2191318731543
