country,country_code,indicator,indicator_code,year,value
Seychelles,SYC,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2000,4.61071777
Seychelles,SYC,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2001,5.30532885
Seychelles,SYC,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2002,4.70596743
Seychelles,SYC,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2003,5.50939226
Seychelles,SYC,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2004,5.3775382
Seychelles,SYC,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2005,5.21991158
Seychelles,SYC,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2006,5.16842318
Seychelles,SYC,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2007,4.50416517
Seychelles,SYC,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2008,4.58248377
Seychelles,SYC,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2009,4.43326807
Seychelles,SYC,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2010,5.35168219
Seychelles,SYC,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2011,5.33887625
Seychelles,SYC,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2012,6.26212692
Seychelles,SYC,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2013,4.97011757
Seychelles,SYC,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2014,4.76223993
Seychelles,SYC,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2015,4.30914021
Seychelles,SYC,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2016,4.71349716
Seychelles,SYC,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2017,4.47661018
Seychelles,SYC,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2018,4.56915951
Seychelles,SYC,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2019,4.35729456
Seychelles,SYC,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2020,6.03121805
Seychelles,SYC,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2021,5.20266438
Seychelles,SYC,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2022,4.2375164
