country,country_code,indicator,indicator_code,year,value
Seychelles,SYC,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1976,3046280.55023452
Seychelles,SYC,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1977,4827705.009103
Seychelles,SYC,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1978,6630740.16991054
Seychelles,SYC,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1979,6223197.17744123
Seychelles,SYC,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1980,5650040.55891308
Seychelles,SYC,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1981,4643105.95279533
Seychelles,SYC,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1982,3840097.65575287
Seychelles,SYC,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1983,4993390.28997024
Seychelles,SYC,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1984,4975064.34852405
Seychelles,SYC,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1985,4635064.35926464
Seychelles,SYC,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1986,4413725.0563765
Seychelles,SYC,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1987,8085239.44346141
Seychelles,SYC,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1988,17263394.7926278
Seychelles,SYC,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1989,34220328.749561
Seychelles,SYC,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1990,56996411.3037
Seychelles,SYC,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1991,49177472.2427302
Seychelles,SYC,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1992,47917341.6967405
Seychelles,SYC,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1993,50332591.3822163
Seychelles,SYC,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1994,52988035.3319499
Seychelles,SYC,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1995,53234214.7953318
Seychelles,SYC,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1996,96318230.4434287
Seychelles,SYC,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1997,113263291.227384
Seychelles,SYC,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1998,122306453.426408
Seychelles,SYC,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1999,145135780.131335
Seychelles,SYC,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2000,194101618.560857
Seychelles,SYC,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2001,215749650.436403
Seychelles,SYC,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2002,235928394.15332
Seychelles,SYC,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2003,285614758.028595
Seychelles,SYC,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2004,300362779.363636
Seychelles,SYC,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2005,350101876.909091
Seychelles,SYC,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2006,419201876.450159
Seychelles,SYC,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2007,397557333.610104
Seychelles,SYC,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2008,437609651.125359
Seychelles,SYC,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2009,431798721.347519
Seychelles,SYC,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2010,400233777.39015
Seychelles,SYC,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2011,476895953.356158
Seychelles,SYC,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2012,559121524.847199
Seychelles,SYC,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2013,629231855.242417
Seychelles,SYC,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2014,539047611.86785
Seychelles,SYC,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2015,449378320.724329
Seychelles,SYC,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2016,458313704.821366
Seychelles,SYC,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2017,543869935.667553
Seychelles,SYC,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2018,572651572.85861
Seychelles,SYC,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2019,483204709.490175
Seychelles,SYC,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2020,473095872.091025
Seychelles,SYC,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2021,515711919.279364
Seychelles,SYC,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2022,562903302.102882
Seychelles,SYC,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2023,541950559.316123
