country,country_code,indicator,indicator_code,year,value
Sierra Leone,SLE,"Labor force, total",SL.TLF.TOTL.IN,1990,1539310.0
Sierra Leone,SLE,"Labor force, total",SL.TLF.TOTL.IN,1991,1556029.0
Sierra Leone,SLE,"Labor force, total",SL.TLF.TOTL.IN,1992,1525183.0
Sierra Leone,SLE,"Labor force, total",SL.TLF.TOTL.IN,1993,1520240.0
Sierra Leone,SLE,"Labor force, total",SL.TLF.TOTL.IN,1994,1524444.0
Sierra Leone,SLE,"Labor force, total",SL.TLF.TOTL.IN,1995,1524995.0
Sierra Leone,SLE,"Labor force, total",SL.TLF.TOTL.IN,1996,1530664.0
Sierra Leone,SLE,"Labor force, total",SL.TLF.TOTL.IN,1997,1548998.0
Sierra Leone,SLE,"Labor force, total",SL.TLF.TOTL.IN,1998,1562683.0
Sierra Leone,SLE,"Labor force, total",SL.TLF.TOTL.IN,1999,1568607.0
Sierra Leone,SLE,"Labor force, total",SL.TLF.TOTL.IN,2000,1605142.0
Sierra Leone,SLE,"Labor force, total",SL.TLF.TOTL.IN,2001,1701877.0
Sierra Leone,SLE,"Labor force, total",SL.TLF.TOTL.IN,2002,1802396.0
Sierra Leone,SLE,"Labor force, total",SL.TLF.TOTL.IN,2003,1877134.0
Sierra Leone,SLE,"Labor force, total",SL.TLF.TOTL.IN,2004,1987007.0
Sierra Leone,SLE,"Labor force, total",SL.TLF.TOTL.IN,2005,2016468.0
Sierra Leone,SLE,"Labor force, total",SL.TLF.TOTL.IN,2006,2036513.0
Sierra Leone,SLE,"Labor force, total",SL.TLF.TOTL.IN,2007,2056536.0
Sierra Leone,SLE,"Labor force, total",SL.TLF.TOTL.IN,2008,2083057.0
Sierra Leone,SLE,"Labor force, total",SL.TLF.TOTL.IN,2009,2113912.0
Sierra Leone,SLE,"Labor force, total",SL.TLF.TOTL.IN,2010,2145691.0
Sierra Leone,SLE,"Labor force, total",SL.TLF.TOTL.IN,2011,2175687.0
Sierra Leone,SLE,"Labor force, total",SL.TLF.TOTL.IN,2012,2205067.0
Sierra Leone,SLE,"Labor force, total",SL.TLF.TOTL.IN,2013,2234189.0
Sierra Leone,SLE,"Labor force, total",SL.TLF.TOTL.IN,2014,2263325.0
Sierra Leone,SLE,"Labor force, total",SL.TLF.TOTL.IN,2015,2300301.0
Sierra Leone,SLE,"Labor force, total",SL.TLF.TOTL.IN,2016,2339207.0
Sierra Leone,SLE,"Labor force, total",SL.TLF.TOTL.IN,2017,2379454.0
Sierra Leone,SLE,"Labor force, total",SL.TLF.TOTL.IN,2018,2419052.0
Sierra Leone,SLE,"Labor force, total",SL.TLF.TOTL.IN,2019,2486676.0
Sierra Leone,SLE,"Labor force, total",SL.TLF.TOTL.IN,2020,2537020.0
Sierra Leone,SLE,"Labor force, total",SL.TLF.TOTL.IN,2021,2624711.0
Sierra Leone,SLE,"Labor force, total",SL.TLF.TOTL.IN,2022,2720775.0
Sierra Leone,SLE,"Labor force, total",SL.TLF.TOTL.IN,2023,2797211.0
Sierra Leone,SLE,"Labor force, total",SL.TLF.TOTL.IN,2024,2863312.0
