country,country_code,indicator,indicator_code,year,value
Solomon Islands,SLB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1960,5.768
Solomon Islands,SLB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1961,6.038
Solomon Islands,SLB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1962,6.321
Solomon Islands,SLB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1963,6.616
Solomon Islands,SLB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1964,6.924
Solomon Islands,SLB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1965,7.245
Solomon Islands,SLB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1966,7.579
Solomon Islands,SLB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1967,7.928
Solomon Islands,SLB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1968,8.292
Solomon Islands,SLB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1969,8.67
Solomon Islands,SLB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1970,8.917
Solomon Islands,SLB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1971,8.958
Solomon Islands,SLB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1972,8.999
Solomon Islands,SLB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1973,9.041
Solomon Islands,SLB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1974,9.083
Solomon Islands,SLB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1975,9.125
Solomon Islands,SLB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1976,9.271
Solomon Islands,SLB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1977,9.583
Solomon Islands,SLB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1978,9.904
Solomon Islands,SLB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1979,10.235
Solomon Islands,SLB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1980,10.576
Solomon Islands,SLB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1981,10.927
Solomon Islands,SLB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1982,11.288
Solomon Islands,SLB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1983,11.659
Solomon Islands,SLB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1984,12.041
Solomon Islands,SLB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1985,12.433
Solomon Islands,SLB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1986,12.837
Solomon Islands,SLB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1987,13.111
Solomon Islands,SLB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1988,13.298
Solomon Islands,SLB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1989,13.486
Solomon Islands,SLB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1990,13.677
Solomon Islands,SLB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1991,13.87
Solomon Islands,SLB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1992,14.065
Solomon Islands,SLB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1993,14.262
Solomon Islands,SLB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1994,14.462
Solomon Islands,SLB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1995,14.664
Solomon Islands,SLB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1996,14.869
Solomon Islands,SLB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1997,15.076
Solomon Islands,SLB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1998,15.285
Solomon Islands,SLB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1999,15.496
Solomon Islands,SLB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,15.813
Solomon Islands,SLB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2001,16.201
Solomon Islands,SLB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2002,16.597
Solomon Islands,SLB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2003,17.001
Solomon Islands,SLB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2004,17.413
Solomon Islands,SLB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2005,17.832
Solomon Islands,SLB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2006,18.259
Solomon Islands,SLB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2007,18.694
Solomon Islands,SLB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2008,19.138
Solomon Islands,SLB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2009,19.589
Solomon Islands,SLB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2010,20.048
Solomon Islands,SLB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2011,20.508
Solomon Islands,SLB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2012,20.97
Solomon Islands,SLB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2013,21.433
Solomon Islands,SLB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2014,21.896
Solomon Islands,SLB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2015,22.36
Solomon Islands,SLB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2016,22.823
Solomon Islands,SLB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2017,23.286
Solomon Islands,SLB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2018,23.749
Solomon Islands,SLB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2019,24.21
Solomon Islands,SLB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2020,24.67
Solomon Islands,SLB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2021,25.128
Solomon Islands,SLB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2022,25.584
Solomon Islands,SLB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2023,26.037
Solomon Islands,SLB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2024,26.488
