country,country_code,indicator,indicator_code,year,value
Somalia,SOM,"Population, total",SP.POP.TOTL,1960,2876331.0
Somalia,SOM,"Population, total",SP.POP.TOTL,1961,2952054.0
Somalia,SOM,"Population, total",SP.POP.TOTL,1962,3030091.0
Somalia,SOM,"Population, total",SP.POP.TOTL,1963,3110361.0
Somalia,SOM,"Population, total",SP.POP.TOTL,1964,3192796.0
Somalia,SOM,"Population, total",SP.POP.TOTL,1965,3277874.0
Somalia,SOM,"Population, total",SP.POP.TOTL,1966,3365106.0
Somalia,SOM,"Population, total",SP.POP.TOTL,1967,3454537.0
Somalia,SOM,"Population, total",SP.POP.TOTL,1968,3546590.0
Somalia,SOM,"Population, total",SP.POP.TOTL,1969,3641015.0
Somalia,SOM,"Population, total",SP.POP.TOTL,1970,3738448.0
Somalia,SOM,"Population, total",SP.POP.TOTL,1971,3837691.0
Somalia,SOM,"Population, total",SP.POP.TOTL,1972,3939436.0
Somalia,SOM,"Population, total",SP.POP.TOTL,1973,4045592.0
Somalia,SOM,"Population, total",SP.POP.TOTL,1974,4151842.0
Somalia,SOM,"Population, total",SP.POP.TOTL,1975,4257535.0
Somalia,SOM,"Population, total",SP.POP.TOTL,1976,4365812.0
Somalia,SOM,"Population, total",SP.POP.TOTL,1977,4484050.0
Somalia,SOM,"Population, total",SP.POP.TOTL,1978,4814892.0
Somalia,SOM,"Population, total",SP.POP.TOTL,1979,5449117.0
Somalia,SOM,"Population, total",SP.POP.TOTL,1980,5936154.0
Somalia,SOM,"Population, total",SP.POP.TOTL,1981,5982849.0
Somalia,SOM,"Population, total",SP.POP.TOTL,1982,6003840.0
Somalia,SOM,"Population, total",SP.POP.TOTL,1983,6198430.0
Somalia,SOM,"Population, total",SP.POP.TOTL,1984,6428389.0
Somalia,SOM,"Population, total",SP.POP.TOTL,1985,6693289.0
Somalia,SOM,"Population, total",SP.POP.TOTL,1986,6974788.0
Somalia,SOM,"Population, total",SP.POP.TOTL,1987,7228302.0
Somalia,SOM,"Population, total",SP.POP.TOTL,1988,7235360.0
Somalia,SOM,"Population, total",SP.POP.TOTL,1989,7114817.0
Somalia,SOM,"Population, total",SP.POP.TOTL,1990,7082811.0
Somalia,SOM,"Population, total",SP.POP.TOTL,1991,6813760.0
Somalia,SOM,"Population, total",SP.POP.TOTL,1992,6495107.0
Somalia,SOM,"Population, total",SP.POP.TOTL,1993,6681399.0
Somalia,SOM,"Population, total",SP.POP.TOTL,1994,7026797.0
Somalia,SOM,"Population, total",SP.POP.TOTL,1995,7285007.0
Somalia,SOM,"Population, total",SP.POP.TOTL,1996,7554474.0
Somalia,SOM,"Population, total",SP.POP.TOTL,1997,7824525.0
Somalia,SOM,"Population, total",SP.POP.TOTL,1998,8155417.0
Somalia,SOM,"Population, total",SP.POP.TOTL,1999,8492059.0
Somalia,SOM,"Population, total",SP.POP.TOTL,2000,8838713.0
Somalia,SOM,"Population, total",SP.POP.TOTL,2001,9198493.0
Somalia,SOM,"Population, total",SP.POP.TOTL,2002,9550063.0
Somalia,SOM,"Population, total",SP.POP.TOTL,2003,9909157.0
Somalia,SOM,"Population, total",SP.POP.TOTL,2004,10280998.0
Somalia,SOM,"Population, total",SP.POP.TOTL,2005,10644228.0
Somalia,SOM,"Population, total",SP.POP.TOTL,2006,10975502.0
Somalia,SOM,"Population, total",SP.POP.TOTL,2007,11322582.0
Somalia,SOM,"Population, total",SP.POP.TOTL,2008,11663084.0
Somalia,SOM,"Population, total",SP.POP.TOTL,2009,11961201.0
Somalia,SOM,"Population, total",SP.POP.TOTL,2010,12261756.0
Somalia,SOM,"Population, total",SP.POP.TOTL,2011,12348830.0
Somalia,SOM,"Population, total",SP.POP.TOTL,2012,12461160.0
Somalia,SOM,"Population, total",SP.POP.TOTL,2013,12869594.0
Somalia,SOM,"Population, total",SP.POP.TOTL,2014,13339491.0
Somalia,SOM,"Population, total",SP.POP.TOTL,2015,13806963.0
Somalia,SOM,"Population, total",SP.POP.TOTL,2016,14348740.0
Somalia,SOM,"Population, total",SP.POP.TOTL,2017,14916629.0
Somalia,SOM,"Population, total",SP.POP.TOTL,2018,15452487.0
Somalia,SOM,"Population, total",SP.POP.TOTL,2019,16030971.0
Somalia,SOM,"Population, total",SP.POP.TOTL,2020,16651191.0
Somalia,SOM,"Population, total",SP.POP.TOTL,2021,17271431.0
Somalia,SOM,"Population, total",SP.POP.TOTL,2022,17801897.0
Somalia,SOM,"Population, total",SP.POP.TOTL,2023,18358615.0
Somalia,SOM,"Population, total",SP.POP.TOTL,2024,19009151.0
