country,country_code,indicator,indicator_code,year,value
St. Lucia,LCA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2006,69.7136291606465
St. Lucia,LCA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2007,71.7690590429257
St. Lucia,LCA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2008,69.7650567741251
St. Lucia,LCA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2009,70.8763072196869
St. Lucia,LCA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2010,74.0905547615954
St. Lucia,LCA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2011,75.6520096349124
St. Lucia,LCA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2012,76.0388954291382
St. Lucia,LCA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2013,75.2064438129313
St. Lucia,LCA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2014,75.1996696874735
St. Lucia,LCA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2015,73.9894234965568
St. Lucia,LCA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2016,73.7632976351171
St. Lucia,LCA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2017,74.8904736135924
St. Lucia,LCA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2018,75.463197581848
St. Lucia,LCA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2019,76.099394954953
St. Lucia,LCA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2020,70.4066659420362
St. Lucia,LCA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2021,74.2809537033364
St. Lucia,LCA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2022,77.5848848992859
St. Lucia,LCA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2023,76.2502190826723
St. Lucia,LCA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2024,75.898187714585
