country,country_code,indicator,indicator_code,year,value
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,1960,4250.0
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,1961,4386.0
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,1962,4527.0
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,1963,4673.0
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,1964,4827.0
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,1965,4996.0
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,1966,5213.0
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,1967,5472.0
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,1968,5693.0
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,1969,5868.0
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,1970,6047.0
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,1971,6228.0
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,1972,6409.0
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,1973,6596.0
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,1974,6801.0
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,1975,7038.0
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,1976,7303.0
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,1977,7569.0
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,1978,7822.0
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,1979,8063.0
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,1980,8288.0
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,1981,8498.0
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,1982,9494.0
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,1983,11485.0
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,1984,13733.0
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,1985,16095.0
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,1986,18558.0
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,1987,21108.0
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,1988,23749.0
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,1989,26453.0
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,1990,28224.0
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,1991,28800.0
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,1992,29081.0
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,1993,29282.0
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,1994,29413.0
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,1995,29470.0
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,1996,29443.0
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,1997,29323.0
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,1998,29107.0
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,1999,29284.0
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,2000,29996.0
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,2001,30803.0
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,2002,31604.0
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,2003,32395.0
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,2004,33171.0
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,2005,33928.0
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,2006,34658.0
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,2007,35337.0
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,2008,35958.0
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,2009,36502.0
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,2010,36856.0
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,2011,37069.0
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,2012,37276.0
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,2013,37419.0
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,2014,37450.0
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,2015,37369.0
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,2016,37175.0
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,2017,36837.0
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,2018,36012.0
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,2019,34267.0
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,2020,31786.0
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,2021,29961.0
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,2022,28870.0
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,2023,27515.0
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,2024,26129.0
