country,country_code,indicator,indicator_code,year,value
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,1960,13066634.0000817
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,1961,13999965.0000875
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,1962,14524963.6875908
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,1963,13708299.0625857
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,1964,14758296.4375922
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,1965,15108295.5625944
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,1966,16099959.7501006
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,1967,15835106.0327781
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,1968,15350000.0
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,1969,16650000.0
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,1970,18450000.0
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,1971,20051922.3261445
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,1972,27585804.8653032
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,1973,30165081.0858817
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,1974,32923702.7281866
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,1975,33237225.9880652
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,1976,32792844.6829448
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,1977,49353161.8518519
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,1978,60844771.4814815
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,1979,71096359.6296296
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,1980,82340339.6296296
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,1981,102086539.259259
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,1982,113759203.333333
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,1983,122255349.62963
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,1984,135024987.777778
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,1985,145641705.185185
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,1986,160846656.666667
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,1987,175580647.407407
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,1988,200726712.592593
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,1989,214745002.222222
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,1990,240366666.666667
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,1991,254829629.62963
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,1992,277955555.555556
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,1993,286307407.407407
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,1994,289437037.037037
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,1995,316007407.407407
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,1996,331488888.888889
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,1997,347770370.37037
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,1998,373618518.518519
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,1999,390718518.518519
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,2000,427946037.037037
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,2001,462072333.333333
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,2002,487763851.851852
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,2003,509090888.888889
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,2004,549900185.185185
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,2005,579948925.925926
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,2006,643501148.148148
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,2007,713596666.666667
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,2008,732663259.259259
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,2009,714300259.259259
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,2010,720447888.888889
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,2011,713796370.37037
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,2012,730032592.592593
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,2013,764781259.259259
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,2014,770900000.0
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,2015,786555555.555555
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,2016,814303703.703704
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,2017,844040740.740741
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,2018,884329629.62963
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,2019,910481481.481481
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,2020,864566666.666667
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,2021,888677777.777778
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,2022,989188888.888889
