country,country_code,indicator,indicator_code,year,value
St. Vincent and the Grenadines,VCT,"Labor force, total",SL.TLF.TOTL.IN,1990,43549.0
St. Vincent and the Grenadines,VCT,"Labor force, total",SL.TLF.TOTL.IN,1991,44203.0
St. Vincent and the Grenadines,VCT,"Labor force, total",SL.TLF.TOTL.IN,1992,45094.0
St. Vincent and the Grenadines,VCT,"Labor force, total",SL.TLF.TOTL.IN,1993,45900.0
St. Vincent and the Grenadines,VCT,"Labor force, total",SL.TLF.TOTL.IN,1994,46458.0
St. Vincent and the Grenadines,VCT,"Labor force, total",SL.TLF.TOTL.IN,1995,47205.0
St. Vincent and the Grenadines,VCT,"Labor force, total",SL.TLF.TOTL.IN,1996,47722.0
St. Vincent and the Grenadines,VCT,"Labor force, total",SL.TLF.TOTL.IN,1997,48260.0
St. Vincent and the Grenadines,VCT,"Labor force, total",SL.TLF.TOTL.IN,1998,48763.0
St. Vincent and the Grenadines,VCT,"Labor force, total",SL.TLF.TOTL.IN,1999,49165.0
St. Vincent and the Grenadines,VCT,"Labor force, total",SL.TLF.TOTL.IN,2000,49463.0
St. Vincent and the Grenadines,VCT,"Labor force, total",SL.TLF.TOTL.IN,2001,49808.0
St. Vincent and the Grenadines,VCT,"Labor force, total",SL.TLF.TOTL.IN,2002,50384.0
St. Vincent and the Grenadines,VCT,"Labor force, total",SL.TLF.TOTL.IN,2003,50999.0
St. Vincent and the Grenadines,VCT,"Labor force, total",SL.TLF.TOTL.IN,2004,51464.0
St. Vincent and the Grenadines,VCT,"Labor force, total",SL.TLF.TOTL.IN,2005,51823.0
St. Vincent and the Grenadines,VCT,"Labor force, total",SL.TLF.TOTL.IN,2006,52287.0
St. Vincent and the Grenadines,VCT,"Labor force, total",SL.TLF.TOTL.IN,2007,52604.0
St. Vincent and the Grenadines,VCT,"Labor force, total",SL.TLF.TOTL.IN,2008,52800.0
St. Vincent and the Grenadines,VCT,"Labor force, total",SL.TLF.TOTL.IN,2009,52905.0
St. Vincent and the Grenadines,VCT,"Labor force, total",SL.TLF.TOTL.IN,2010,52858.0
St. Vincent and the Grenadines,VCT,"Labor force, total",SL.TLF.TOTL.IN,2011,52872.0
St. Vincent and the Grenadines,VCT,"Labor force, total",SL.TLF.TOTL.IN,2012,52918.0
St. Vincent and the Grenadines,VCT,"Labor force, total",SL.TLF.TOTL.IN,2013,52997.0
St. Vincent and the Grenadines,VCT,"Labor force, total",SL.TLF.TOTL.IN,2014,53015.0
St. Vincent and the Grenadines,VCT,"Labor force, total",SL.TLF.TOTL.IN,2015,53077.0
St. Vincent and the Grenadines,VCT,"Labor force, total",SL.TLF.TOTL.IN,2016,53150.0
St. Vincent and the Grenadines,VCT,"Labor force, total",SL.TLF.TOTL.IN,2017,53096.0
St. Vincent and the Grenadines,VCT,"Labor force, total",SL.TLF.TOTL.IN,2018,53044.0
St. Vincent and the Grenadines,VCT,"Labor force, total",SL.TLF.TOTL.IN,2019,52874.0
St. Vincent and the Grenadines,VCT,"Labor force, total",SL.TLF.TOTL.IN,2020,51428.0
St. Vincent and the Grenadines,VCT,"Labor force, total",SL.TLF.TOTL.IN,2021,51468.0
St. Vincent and the Grenadines,VCT,"Labor force, total",SL.TLF.TOTL.IN,2022,52249.0
St. Vincent and the Grenadines,VCT,"Labor force, total",SL.TLF.TOTL.IN,2023,52246.0
St. Vincent and the Grenadines,VCT,"Labor force, total",SL.TLF.TOTL.IN,2024,52149.0
