country,country_code,indicator,indicator_code,year,value
Syrian Arab Republic,SYR,Battle-related deaths (number of people),VC.BTL.DETH,2004,1.0
Syrian Arab Republic,SYR,Battle-related deaths (number of people),VC.BTL.DETH,2011,1203.0
Syrian Arab Republic,SYR,Battle-related deaths (number of people),VC.BTL.DETH,2012,50481.0
Syrian Arab Republic,SYR,Battle-related deaths (number of people),VC.BTL.DETH,2013,72010.0
Syrian Arab Republic,SYR,Battle-related deaths (number of people),VC.BTL.DETH,2014,66057.0
Syrian Arab Republic,SYR,Battle-related deaths (number of people),VC.BTL.DETH,2015,51079.0
Syrian Arab Republic,SYR,Battle-related deaths (number of people),VC.BTL.DETH,2016,44938.0
Syrian Arab Republic,SYR,Battle-related deaths (number of people),VC.BTL.DETH,2017,25032.0
Syrian Arab Republic,SYR,Battle-related deaths (number of people),VC.BTL.DETH,2018,13246.0
Syrian Arab Republic,SYR,Battle-related deaths (number of people),VC.BTL.DETH,2019,7539.0
Syrian Arab Republic,SYR,Battle-related deaths (number of people),VC.BTL.DETH,2020,4862.0
Syrian Arab Republic,SYR,Battle-related deaths (number of people),VC.BTL.DETH,2021,1523.0
Syrian Arab Republic,SYR,Battle-related deaths (number of people),VC.BTL.DETH,2022,966.0
Syrian Arab Republic,SYR,Battle-related deaths (number of people),VC.BTL.DETH,2023,1664.0
