country,country_code,indicator,indicator_code,year,value
Syrian Arab Republic,SYR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2000,4.55400705
Syrian Arab Republic,SYR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2001,4.6971879
Syrian Arab Republic,SYR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2002,4.94717073
Syrian Arab Republic,SYR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2003,5.11781693
Syrian Arab Republic,SYR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2004,4.47935343
Syrian Arab Republic,SYR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2005,4.10970068
Syrian Arab Republic,SYR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2006,3.77771473
Syrian Arab Republic,SYR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2007,3.72242856
Syrian Arab Republic,SYR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2008,3.39762759
Syrian Arab Republic,SYR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2009,3.5464704
Syrian Arab Republic,SYR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2010,3.22704148
Syrian Arab Republic,SYR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2011,2.52865362
Syrian Arab Republic,SYR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2012,3.0471952
Syrian Arab Republic,SYR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2013,3.55862904
Syrian Arab Republic,SYR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2014,4.01812267
Syrian Arab Republic,SYR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2015,3.47905326
Syrian Arab Republic,SYR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2016,3.73849273
Syrian Arab Republic,SYR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2017,3.81525493
Syrian Arab Republic,SYR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2018,3.86612964
Syrian Arab Republic,SYR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2019,3.94000149
Syrian Arab Republic,SYR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2020,3.71555972
Syrian Arab Republic,SYR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2021,4.70613527
Syrian Arab Republic,SYR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2022,4.15098715
