country,country_code,indicator,indicator_code,year,value
Tajikistan,TJK,Battle-related deaths (number of people),VC.BTL.DETH,1992,3355.0
Tajikistan,TJK,Battle-related deaths (number of people),VC.BTL.DETH,1993,1045.0
Tajikistan,TJK,Battle-related deaths (number of people),VC.BTL.DETH,1994,356.0
Tajikistan,TJK,Battle-related deaths (number of people),VC.BTL.DETH,1995,368.0
Tajikistan,TJK,Battle-related deaths (number of people),VC.BTL.DETH,1996,2790.0
Tajikistan,TJK,Battle-related deaths (number of people),VC.BTL.DETH,1997,87.0
Tajikistan,TJK,Battle-related deaths (number of people),VC.BTL.DETH,1998,600.0
Tajikistan,TJK,Battle-related deaths (number of people),VC.BTL.DETH,1999,3.0
Tajikistan,TJK,Battle-related deaths (number of people),VC.BTL.DETH,2000,46.0
Tajikistan,TJK,Battle-related deaths (number of people),VC.BTL.DETH,2010,98.0
Tajikistan,TJK,Battle-related deaths (number of people),VC.BTL.DETH,2011,28.0
Tajikistan,TJK,Battle-related deaths (number of people),VC.BTL.DETH,2021,16.0
Tajikistan,TJK,Battle-related deaths (number of people),VC.BTL.DETH,2022,87.0
