country,country_code,indicator,indicator_code,year,value
Tajikistan,TJK,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1985,42.2110552763819
Tajikistan,TJK,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1986,40.1349072512648
Tajikistan,TJK,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1987,42.741935483871
Tajikistan,TJK,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1988,39.2441860465116
Tajikistan,TJK,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1989,36.231884057971
Tajikistan,TJK,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1990,37.5857338820302
Tajikistan,TJK,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1991,36.3905325443787
Tajikistan,TJK,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1992,49.613601236476
Tajikistan,TJK,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1993,41.9214776680904
Tajikistan,TJK,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1994,33.6089108910891
Tajikistan,TJK,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1995,37.5606017191977
Tajikistan,TJK,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1996,29.1754539559014
Tajikistan,TJK,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1997,25.9240061752219
Tajikistan,TJK,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1998,24.9536038232712
Tajikistan,TJK,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1999,27.4599628252788
Tajikistan,TJK,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2000,35.2773269155426
Tajikistan,TJK,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2001,36.1845697792339
Tajikistan,TJK,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2002,35.140580096584
Tajikistan,TJK,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2003,33.1163103288949
Tajikistan,TJK,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2004,30.916284273507
Tajikistan,TJK,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2005,27.3665806344184
Tajikistan,TJK,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2006,27.3641700231382
Tajikistan,TJK,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2007,26.4284152322639
Tajikistan,TJK,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2008,24.5575196250071
Tajikistan,TJK,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2009,24.5088106260756
Tajikistan,TJK,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2010,24.9766261519968
Tajikistan,TJK,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2011,22.4687490647166
Tajikistan,TJK,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2012,22.0426346192666
Tajikistan,TJK,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2013,23.1151646451446
Tajikistan,TJK,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2014,22.6047415105536
Tajikistan,TJK,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2015,30.220213504702
Tajikistan,TJK,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2016,32.2133662345342
Tajikistan,TJK,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2017,31.8468579622965
Tajikistan,TJK,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2018,34.3983608033865
Tajikistan,TJK,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2019,33.0621490637064
Tajikistan,TJK,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2020,33.7965394725715
Tajikistan,TJK,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2021,35.177682602153
Tajikistan,TJK,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2022,34.702580856427
Tajikistan,TJK,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2023,33.6387708593471
