country,country_code,indicator,indicator_code,year,value
Togo,TGO,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1974,131775591.687844
Togo,TGO,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1975,-75492422.4077998
Togo,TGO,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1976,-24569942.8997137
Togo,TGO,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1977,-87288453.9202173
Togo,TGO,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1978,-217370822.761459
Togo,TGO,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1979,-212747509.342208
Togo,TGO,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1980,-94997360.0645085
Togo,TGO,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1981,-44153887.5510845
Togo,TGO,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1982,-86836448.6847992
Togo,TGO,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1983,-43380932.5345689
Togo,TGO,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1984,26183374.4528586
Togo,TGO,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1985,-27422692.3262057
Togo,TGO,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1986,-56438541.1839348
Togo,TGO,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1987,-60535063.8691891
Togo,TGO,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1988,-87181988.5407708
Togo,TGO,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1989,-50838802.7083759
Togo,TGO,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1990,-84248867.333672
Togo,TGO,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1991,-140779962.347233
Togo,TGO,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1992,-138674488.200669
Togo,TGO,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1993,-82436740.197864
Togo,TGO,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1994,-56344984.5521475
Togo,TGO,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1995,-121963722.29377
Togo,TGO,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1996,-153906022.806026
Togo,TGO,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1997,-116905226.198311
Togo,TGO,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1998,-140118232.648126
Togo,TGO,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1999,-127167163.430521
Togo,TGO,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2000,-139989979.295331
Togo,TGO,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2001,-169278250.246958
Togo,TGO,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2002,-140221703.105451
Togo,TGO,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2003,-162288797.01521
Togo,TGO,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2004,-207259847.208532
Togo,TGO,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2005,-203975831.401783
Togo,TGO,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2006,-176448087.553163
Togo,TGO,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2007,-216046941.19799
Togo,TGO,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2008,-222862246.129318
Togo,TGO,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2009,-177380316.136523
Togo,TGO,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2010,-199902525.487962
Togo,TGO,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2011,-302102822.650797
Togo,TGO,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2012,-294119033.86536
Togo,TGO,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2013,-568417939.682036
Togo,TGO,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2014,-458469871.811721
Togo,TGO,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2015,-461024604.594766
Togo,TGO,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2016,-436626626.246685
Togo,TGO,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2017,-96643295.4745594
Togo,TGO,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2018,-184851586.408689
Togo,TGO,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2019,-55443572.9474839
Togo,TGO,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2020,-20737721.1240914
