country,country_code,indicator,indicator_code,year,value
Tonga,TON,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1971,-614880.098454601
Tonga,TON,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1972,-1475102.27827888
Tonga,TON,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1973,-1239438.54611721
Tonga,TON,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1974,804644.170487509
Tonga,TON,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1975,244681.922171339
Tonga,TON,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1976,-2091070.43741997
Tonga,TON,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1977,-2050706.32927724
Tonga,TON,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1978,-716570.855800111
Tonga,TON,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1979,-2404139.40455678
Tonga,TON,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1980,-3218776.7191613
Tonga,TON,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1981,-7469818.11359763
Tonga,TON,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1982,3390673.51349107
Tonga,TON,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1983,798991.239683986
Tonga,TON,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1984,-257298.587283409
Tonga,TON,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1985,-2087373.18560664
Tonga,TON,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1986,538242.240518696
Tonga,TON,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1987,4879900.45696946
Tonga,TON,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1988,-11243742.5600742
Tonga,TON,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1989,-1880805.92520056
Tonga,TON,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1990,12776831.7227261
Tonga,TON,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1991,-1901108.30689304
Tonga,TON,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1992,-1768134.16054532
Tonga,TON,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1993,3271890.53269842
Tonga,TON,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1994,-18573310.2015018
Tonga,TON,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2001,-13150662.7542577
Tonga,TON,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2002,-6334978.96222913
Tonga,TON,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2003,-12822927.5107196
Tonga,TON,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2004,-7539129.75297
Tonga,TON,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2005,-24332160.8799191
Tonga,TON,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2006,-23696552.5579453
Tonga,TON,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2007,-49242000.9865359
Tonga,TON,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2008,-62713603.6514979
Tonga,TON,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2009,-93845899.2715068
Tonga,TON,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2010,-87437001.1778643
Tonga,TON,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2011,-83871330.430222
Tonga,TON,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2012,-69820546.1388215
Tonga,TON,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2013,-42800210.4141927
Tonga,TON,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2014,-27630995.7799054
Tonga,TON,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2015,-47797844.012887
Tonga,TON,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2016,-31440314.5610006
Tonga,TON,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2017,-32975120.5556742
Tonga,TON,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2018,-34314586.6818154
Tonga,TON,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2019,-18913869.4247872
Tonga,TON,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2020,-28459234.0302697
Tonga,TON,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2021,-32382168.7725971
Tonga,TON,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2022,-27749065.3893653
Tonga,TON,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2023,-30086955.2396069
Tonga,TON,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2024,-21165212.0259464
