country,country_code,indicator,indicator_code,year,value
Tonga,TON,GDP per capita (current US$),NY.GDP.PCAP.CD,1975,349.470975414391
Tonga,TON,GDP per capita (current US$),NY.GDP.PCAP.CD,1976,315.094854046623
Tonga,TON,GDP per capita (current US$),NY.GDP.PCAP.CD,1977,352.953092694597
Tonga,TON,GDP per capita (current US$),NY.GDP.PCAP.CD,1978,427.631287521076
Tonga,TON,GDP per capita (current US$),NY.GDP.PCAP.CD,1979,457.916448085709
Tonga,TON,GDP per capita (current US$),NY.GDP.PCAP.CD,1980,544.754241437563
Tonga,TON,GDP per capita (current US$),NY.GDP.PCAP.CD,1981,635.712889829014
Tonga,TON,GDP per capita (current US$),NY.GDP.PCAP.CD,1982,633.477863554833
Tonga,TON,GDP per capita (current US$),NY.GDP.PCAP.CD,1983,621.073531745178
Tonga,TON,GDP per capita (current US$),NY.GDP.PCAP.CD,1984,655.66235882708
Tonga,TON,GDP per capita (current US$),NY.GDP.PCAP.CD,1985,612.943575629463
Tonga,TON,GDP per capita (current US$),NY.GDP.PCAP.CD,1986,695.805077185729
Tonga,TON,GDP per capita (current US$),NY.GDP.PCAP.CD,1987,830.153019585043
Tonga,TON,GDP per capita (current US$),NY.GDP.PCAP.CD,1988,1077.6835915018
Tonga,TON,GDP per capita (current US$),NY.GDP.PCAP.CD,1989,1069.83546760253
Tonga,TON,GDP per capita (current US$),NY.GDP.PCAP.CD,1990,1139.0553819198
Tonga,TON,GDP per capita (current US$),NY.GDP.PCAP.CD,1991,1323.40098550339
Tonga,TON,GDP per capita (current US$),NY.GDP.PCAP.CD,1992,1370.36142598699
Tonga,TON,GDP per capita (current US$),NY.GDP.PCAP.CD,1993,1383.47386584881
Tonga,TON,GDP per capita (current US$),NY.GDP.PCAP.CD,1994,1956.66180354821
Tonga,TON,GDP per capita (current US$),NY.GDP.PCAP.CD,1995,2084.02759539718
Tonga,TON,GDP per capita (current US$),NY.GDP.PCAP.CD,1996,2214.91474789811
Tonga,TON,GDP per capita (current US$),NY.GDP.PCAP.CD,1997,2135.52111086276
Tonga,TON,GDP per capita (current US$),NY.GDP.PCAP.CD,1998,1888.83194028282
Tonga,TON,GDP per capita (current US$),NY.GDP.PCAP.CD,1999,1952.14626248861
Tonga,TON,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,1995.07667546271
Tonga,TON,GDP per capita (current US$),NY.GDP.PCAP.CD,2001,1753.51667576626
Tonga,TON,GDP per capita (current US$),NY.GDP.PCAP.CD,2002,1759.4805324576
Tonga,TON,GDP per capita (current US$),NY.GDP.PCAP.CD,2003,1936.04104012389
Tonga,TON,GDP per capita (current US$),NY.GDP.PCAP.CD,2004,2195.44890047673
Tonga,TON,GDP per capita (current US$),NY.GDP.PCAP.CD,2005,2477.72620144825
Tonga,TON,GDP per capita (current US$),NY.GDP.PCAP.CD,2006,2750.34778600857
Tonga,TON,GDP per capita (current US$),NY.GDP.PCAP.CD,2007,2797.06560109144
Tonga,TON,GDP per capita (current US$),NY.GDP.PCAP.CD,2008,3218.45303993196
Tonga,TON,GDP per capita (current US$),NY.GDP.PCAP.CD,2009,2914.23774004564
Tonga,TON,GDP per capita (current US$),NY.GDP.PCAP.CD,2010,3416.08356601207
Tonga,TON,GDP per capita (current US$),NY.GDP.PCAP.CD,2011,3849.99375750134
Tonga,TON,GDP per capita (current US$),NY.GDP.PCAP.CD,2012,4384.17058724217
Tonga,TON,GDP per capita (current US$),NY.GDP.PCAP.CD,2013,4219.24670113014
Tonga,TON,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,4136.59010898445
Tonga,TON,GDP per capita (current US$),NY.GDP.PCAP.CD,2015,4123.90347238813
Tonga,TON,GDP per capita (current US$),NY.GDP.PCAP.CD,2016,3987.98618837043
Tonga,TON,GDP per capita (current US$),NY.GDP.PCAP.CD,2017,4365.92929788648
Tonga,TON,GDP per capita (current US$),NY.GDP.PCAP.CD,2018,4638.8978542585
Tonga,TON,GDP per capita (current US$),NY.GDP.PCAP.CD,2019,4676.84802517145
Tonga,TON,GDP per capita (current US$),NY.GDP.PCAP.CD,2020,4700.44940541029
Tonga,TON,GDP per capita (current US$),NY.GDP.PCAP.CD,2021,4912.57966349119
Tonga,TON,GDP per capita (current US$),NY.GDP.PCAP.CD,2022,4933.07466930785
Tonga,TON,GDP per capita (current US$),NY.GDP.PCAP.CD,2023,4863.76384632192
