country,country_code,indicator,indicator_code,year,value
Tonga,TON,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1994,47.4079149811418
Tonga,TON,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1995,47.2107890226215
Tonga,TON,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1996,47.6270413957019
Tonga,TON,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1997,49.3729791854491
Tonga,TON,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1998,49.7065188136997
Tonga,TON,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1999,48.757996428764
Tonga,TON,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2000,49.8736929257912
Tonga,TON,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2001,50.8128337086696
Tonga,TON,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2002,50.2131463198091
Tonga,TON,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2003,48.9232561889516
Tonga,TON,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2004,49.6719952820383
Tonga,TON,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2005,51.3193096967317
Tonga,TON,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2006,53.5471797873232
Tonga,TON,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2007,51.5911160117564
Tonga,TON,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2008,52.8115110841061
Tonga,TON,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2009,54.6604882663289
Tonga,TON,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2010,53.59398087421
Tonga,TON,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2011,51.759830275415
Tonga,TON,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2012,51.8379094160783
Tonga,TON,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2013,54.2264528206162
Tonga,TON,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2014,54.0689049756363
Tonga,TON,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2015,53.3615593263402
Tonga,TON,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2016,52.0575330434807
Tonga,TON,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2017,50.5829624108985
Tonga,TON,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2018,50.2333133115132
Tonga,TON,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2019,47.4729977546743
Tonga,TON,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2020,51.3382210713941
Tonga,TON,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2021,50.6528703508083
Tonga,TON,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2022,51.8018291232577
Tonga,TON,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2023,50.1628370533931
