country,country_code,indicator,indicator_code,year,value
Trinidad and Tobago,TTO,"Labor force, total",SL.TLF.TOTL.IN,1990,488766.0
Trinidad and Tobago,TTO,"Labor force, total",SL.TLF.TOTL.IN,1991,497432.0
Trinidad and Tobago,TTO,"Labor force, total",SL.TLF.TOTL.IN,1992,509093.0
Trinidad and Tobago,TTO,"Labor force, total",SL.TLF.TOTL.IN,1993,517277.0
Trinidad and Tobago,TTO,"Labor force, total",SL.TLF.TOTL.IN,1994,535230.0
Trinidad and Tobago,TTO,"Labor force, total",SL.TLF.TOTL.IN,1995,553081.0
Trinidad and Tobago,TTO,"Labor force, total",SL.TLF.TOTL.IN,1996,570696.0
Trinidad and Tobago,TTO,"Labor force, total",SL.TLF.TOTL.IN,1997,583019.0
Trinidad and Tobago,TTO,"Labor force, total",SL.TLF.TOTL.IN,1998,595443.0
Trinidad and Tobago,TTO,"Labor force, total",SL.TLF.TOTL.IN,1999,606295.0
Trinidad and Tobago,TTO,"Labor force, total",SL.TLF.TOTL.IN,2000,616212.0
Trinidad and Tobago,TTO,"Labor force, total",SL.TLF.TOTL.IN,2001,626695.0
Trinidad and Tobago,TTO,"Labor force, total",SL.TLF.TOTL.IN,2002,636894.0
Trinidad and Tobago,TTO,"Labor force, total",SL.TLF.TOTL.IN,2003,658376.0
Trinidad and Tobago,TTO,"Labor force, total",SL.TLF.TOTL.IN,2004,679474.0
Trinidad and Tobago,TTO,"Labor force, total",SL.TLF.TOTL.IN,2005,670234.0
Trinidad and Tobago,TTO,"Labor force, total",SL.TLF.TOTL.IN,2006,677046.0
Trinidad and Tobago,TTO,"Labor force, total",SL.TLF.TOTL.IN,2007,677808.0
Trinidad and Tobago,TTO,"Labor force, total",SL.TLF.TOTL.IN,2008,681951.0
Trinidad and Tobago,TTO,"Labor force, total",SL.TLF.TOTL.IN,2009,676038.0
Trinidad and Tobago,TTO,"Labor force, total",SL.TLF.TOTL.IN,2010,670134.0
Trinidad and Tobago,TTO,"Labor force, total",SL.TLF.TOTL.IN,2011,665988.0
Trinidad and Tobago,TTO,"Labor force, total",SL.TLF.TOTL.IN,2012,679786.0
Trinidad and Tobago,TTO,"Labor force, total",SL.TLF.TOTL.IN,2013,684105.0
Trinidad and Tobago,TTO,"Labor force, total",SL.TLF.TOTL.IN,2014,690101.0
Trinidad and Tobago,TTO,"Labor force, total",SL.TLF.TOTL.IN,2015,684099.0
Trinidad and Tobago,TTO,"Labor force, total",SL.TLF.TOTL.IN,2016,676403.0
Trinidad and Tobago,TTO,"Labor force, total",SL.TLF.TOTL.IN,2017,673740.0
Trinidad and Tobago,TTO,"Labor force, total",SL.TLF.TOTL.IN,2018,672830.0
Trinidad and Tobago,TTO,"Labor force, total",SL.TLF.TOTL.IN,2019,671805.0
Trinidad and Tobago,TTO,"Labor force, total",SL.TLF.TOTL.IN,2020,651175.0
Trinidad and Tobago,TTO,"Labor force, total",SL.TLF.TOTL.IN,2021,641986.0
Trinidad and Tobago,TTO,"Labor force, total",SL.TLF.TOTL.IN,2022,651121.0
Trinidad and Tobago,TTO,"Labor force, total",SL.TLF.TOTL.IN,2023,652012.0
Trinidad and Tobago,TTO,"Labor force, total",SL.TLF.TOTL.IN,2024,649891.0
