country,country_code,indicator,indicator_code,year,value
Tunisia,TUN,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1976,-396478340.380102
Tunisia,TUN,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1977,-566499593.347709
Tunisia,TUN,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1978,-458946147.016421
Tunisia,TUN,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1979,-300150691.14654
Tunisia,TUN,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1980,-353126383.487332
Tunisia,TUN,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1981,-453621122.652106
Tunisia,TUN,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1982,-661940536.513707
Tunisia,TUN,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1983,-570151746.583469
Tunisia,TUN,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1984,-764642780.92933
Tunisia,TUN,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1985,-581189241.066831
Tunisia,TUN,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1986,-604511798.999827
Tunisia,TUN,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1987,-54304376.0276349
Tunisia,TUN,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1988,209838104.073871
Tunisia,TUN,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1989,-218050623.910954
Tunisia,TUN,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1990,-463377609.108159
Tunisia,TUN,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1991,-469381593.355835
Tunisia,TUN,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1992,-1103531451.40014
Tunisia,TUN,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1993,-1323049589.45279
Tunisia,TUN,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1994,-536797749.337857
Tunisia,TUN,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1995,-773988897.700238
Tunisia,TUN,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1996,-477702916.727307
Tunisia,TUN,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1997,-594986022.048243
Tunisia,TUN,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1998,-675316691.914202
Tunisia,TUN,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1999,-441737444.414002
Tunisia,TUN,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2000,-821488065.563407
Tunisia,TUN,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2001,-840473687.411488
Tunisia,TUN,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2002,-746061146.018946
Tunisia,TUN,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2003,-730485399.217413
Tunisia,TUN,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2004,-441762123.969595
Tunisia,TUN,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2005,-299283200.164428
Tunisia,TUN,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2006,-619372288.274075
Tunisia,TUN,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2007,-916917593.959538
Tunisia,TUN,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2008,-1711248030.19133
Tunisia,TUN,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2009,-1233748680.82428
Tunisia,TUN,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2010,-2104443202.45913
Tunisia,TUN,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2011,-3385748280.39353
Tunisia,TUN,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2012,-3721384859.17183
Tunisia,TUN,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2013,-3878661667.32493
Tunisia,TUN,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2014,-4463103950.9918
Tunisia,TUN,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2015,-3923736697.89078
Tunisia,TUN,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2016,-3783414285.93598
Tunisia,TUN,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2017,-4222408216.82838
Tunisia,TUN,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2018,-4607847184.77695
Tunisia,TUN,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2019,-3373037344.72417
Tunisia,TUN,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2020,-2554750409.23013
Tunisia,TUN,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2021,-2770055367.89955
Tunisia,TUN,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2022,-3969241926.02495
Tunisia,TUN,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2023,-1110513299.87519
