country,country_code,indicator,indicator_code,year,value
Turkiye,TUR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1960,17.3274596182085
Turkiye,TUR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1961,17.2461752433936
Turkiye,TUR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1962,17.0610211706102
Turkiye,TUR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1963,16.9527896995708
Turkiye,TUR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1964,17.8926441351889
Turkiye,TUR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1965,19.3129062209842
Turkiye,TUR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1966,19.6217494089835
Turkiye,TUR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1967,20.4545454545455
Turkiye,TUR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1968,21.4603174603175
Turkiye,TUR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1969,22.0890410958904
Turkiye,TUR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1970,21.9338422391858
Turkiye,TUR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1971,22.7216494845361
Turkiye,TUR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1972,23.728813559322
Turkiye,TUR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1973,23.7087912087912
Turkiye,TUR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1974,22.5494150867285
Turkiye,TUR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1975,22.5566242631089
Turkiye,TUR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1976,23.9067055393586
Turkiye,TUR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1977,23.3835084729717
Turkiye,TUR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1978,22.9154813831468
Turkiye,TUR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1979,25.6434253626579
Turkiye,TUR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1980,23.494436584713
Turkiye,TUR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1981,26.6940893557777
Turkiye,TUR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1982,27.7825432225844
Turkiye,TUR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1983,26.629176314919
Turkiye,TUR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1984,25.6233776270508
Turkiye,TUR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1985,26.3660583265661
Turkiye,TUR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1986,30.9878952922221
Turkiye,TUR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1987,31.3937413261708
Turkiye,TUR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1988,32.8205564734242
Turkiye,TUR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1989,32.974711413978
Turkiye,TUR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1990,31.0610690169089
Turkiye,TUR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1991,31.5408458335271
Turkiye,TUR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1992,31.1790632248246
Turkiye,TUR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1993,29.8229835895656
Turkiye,TUR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1994,32.0810894530806
Turkiye,TUR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1995,32.0201334214309
Turkiye,TUR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1996,30.6180467026302
Turkiye,TUR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1997,30.779855912303
Turkiye,TUR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1998,31.0354136220481
Turkiye,TUR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1999,28.2861088812238
Turkiye,TUR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2000,26.7974121691922
Turkiye,TUR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2001,25.5036230941505
Turkiye,TUR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2002,24.5917198534204
Turkiye,TUR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2003,24.793687556953
Turkiye,TUR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2004,25.106957159901
Turkiye,TUR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2005,25.2372832846274
Turkiye,TUR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2006,26.0338457437604
Turkiye,TUR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2007,26.3739482496167
Turkiye,TUR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2008,26.1477819757307
Turkiye,TUR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2009,24.0238464008494
Turkiye,TUR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2010,24.4901518281965
Turkiye,TUR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2011,26.8375169440197
Turkiye,TUR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2012,26.6493473600843
Turkiye,TUR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2013,27.6799921729987
Turkiye,TUR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2014,28.1166611941326
Turkiye,TUR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2015,27.8343492943753
Turkiye,TUR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2016,28.0829597706854
Turkiye,TUR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2017,29.1317212602651
Turkiye,TUR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2018,29.4385975286566
Turkiye,TUR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2019,27.3317028269222
Turkiye,TUR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2020,28.0257665285319
Turkiye,TUR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2021,31.1328007254682
Turkiye,TUR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2022,31.2937674598139
Turkiye,TUR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2023,28.3776533622381
Turkiye,TUR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2024,25.9426357622425
