country,country_code,indicator,indicator_code,year,value
Uganda,UGA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1980,-82669699.299945
Uganda,UGA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1981,25401432.590057
Uganda,UGA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1982,-69896624.459943
Uganda,UGA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1983,-72237297.720057
Uganda,UGA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1984,103543713.07
Uganda,UGA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1985,4597852.89999998
Uganda,UGA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1986,-43267054.180053
Uganda,UGA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1987,-112010296.98
Uganda,UGA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1988,-195210146.65
Uganda,UGA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1989,-259520589.14
Uganda,UGA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1990,-263300000.0
Uganda,UGA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1991,-169770000.0
Uganda,UGA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1992,-99600000.0
Uganda,UGA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1993,-171130000.0
Uganda,UGA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1994,-174200000.0
Uganda,UGA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1995,-281490000.0
Uganda,UGA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1996,-211500000.0
Uganda,UGA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1997,-315730000.0
Uganda,UGA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1998,-363690000.0
Uganda,UGA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1999,-293200000.0
Uganda,UGA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2000,-358800000.0
Uganda,UGA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2001,-305583689.219979
Uganda,UGA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2002,-151999890.306009
Uganda,UGA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2003,-38435956.3553837
Uganda,UGA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2004,-1675020.2514841
Uganda,UGA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2005,49224086.1693945
Uganda,UGA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2006,-318190780.739843
Uganda,UGA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2007,-562842782.413719
Uganda,UGA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2008,-1223839164.11428
Uganda,UGA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2009,-1048042885.5576
Uganda,UGA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2010,-1609773703.87242
Uganda,UGA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2011,-2087253428.48861
Uganda,UGA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2012,-1655592192.89013
Uganda,UGA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2013,-1751485256.93053
Uganda,UGA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2014,-2165987726.53222
Uganda,UGA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2015,-1649442857.80486
Uganda,UGA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2016,-795995505.85521
Uganda,UGA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2017,-1501727445.44533
Uganda,UGA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2018,-2084720707.83027
Uganda,UGA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2019,-2632560000.0
Uganda,UGA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2020,-3598180000.0
Uganda,UGA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2021,-3604910000.0
Uganda,UGA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2022,-4063950000.0
Uganda,UGA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2023,-3766440000.0
