country,country_code,indicator,indicator_code,year,value
Ukraine,UKR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2000,5.30685186
Ukraine,UKR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2001,5.72534418
Ukraine,UKR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2002,5.99220037
Ukraine,UKR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2003,6.54574108
Ukraine,UKR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2004,6.16856956
Ukraine,UKR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2005,6.3461585
Ukraine,UKR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2006,6.4171896
Ukraine,UKR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2007,6.01776791
Ukraine,UKR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2008,5.49754429
Ukraine,UKR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2009,6.60991716
Ukraine,UKR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2010,6.81387615
Ukraine,UKR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2011,6.81669855
Ukraine,UKR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2012,7.11789227
Ukraine,UKR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2013,6.94358015
Ukraine,UKR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2014,7.19506168
Ukraine,UKR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2015,7.78352833
Ukraine,UKR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2016,7.55205393
Ukraine,UKR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2017,7.44187737
Ukraine,UKR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2018,7.51989269
Ukraine,UKR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2019,7.09175062
Ukraine,UKR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2020,7.56217051
Ukraine,UKR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2021,8.2027483
