country,country_code,indicator,indicator_code,year,value
United States,USA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1972,17.7983128894309
United States,USA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1973,17.8963305120894
United States,USA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1974,17.8826242862773
United States,USA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1975,19.4705455028892
United States,USA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1976,19.73244539909
United States,USA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1977,19.602983150369
United States,USA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1978,19.123583570158
United States,USA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1979,18.921088419321
United States,USA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1980,20.5441697374486
United States,USA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1981,21.004720550813
United States,USA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1982,22.4631398691724
United States,USA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1983,22.8027334882024
United States,USA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1984,21.470358848161
United States,USA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1985,22.1748019522565
United States,USA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1986,22.2306120296592
United States,USA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1987,21.3743366668623
United States,USA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1988,21.0303263401572
United States,USA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1989,20.8631269963379
United States,USA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1990,21.5589293164814
United States,USA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1991,22.8843858256298
United States,USA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1992,21.8183842620163
United States,USA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1993,21.4174726790278
United States,USA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1994,20.7314542852736
United States,USA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1995,20.5330044220039
United States,USA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1996,20.0053956821165
United States,USA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1997,19.3896813449805
United States,USA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1998,18.7213313476373
United States,USA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1999,18.1044425330583
United States,USA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2000,17.9265301408103
United States,USA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2001,19.5097642405274
United States,USA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2002,20.0840187506611
United States,USA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2003,20.6606182543458
United States,USA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2004,20.4485309067645
United States,USA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2005,20.7451064662954
United States,USA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2006,20.5951410085264
United States,USA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2007,20.8646436963685
United States,USA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2008,22.7876198166239
United States,USA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2009,25.5765165335953
United States,USA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2010,26.0545933672143
United States,USA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2011,25.3456995286842
United States,USA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2012,23.9119039840728
United States,USA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2013,22.8814639786791
United States,USA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2014,22.6100726834376
United States,USA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2015,22.3735356601707
United States,USA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2016,22.4159218391492
United States,USA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2017,22.1406996557534
United States,USA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2018,22.1694791125473
United States,USA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2019,22.514337755714
United States,USA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2020,31.8281473281133
United States,USA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2021,31.3034760823272
United States,USA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2022,24.658458048026
United States,USA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2023,24.5133766239529
