country,country_code,indicator,indicator_code,year,value
Uzbekistan,UZB,GDP (current US$),NY.GDP.MKTP.CD,1987,8523160592.61112
Uzbekistan,UZB,GDP (current US$),NY.GDP.MKTP.CD,1988,10722799639.3121
Uzbekistan,UZB,GDP (current US$),NY.GDP.MKTP.CD,1989,11948815258.1132
Uzbekistan,UZB,GDP (current US$),NY.GDP.MKTP.CD,1990,13362340337.8657
Uzbekistan,UZB,GDP (current US$),NY.GDP.MKTP.CD,1991,13800167711.5003
Uzbekistan,UZB,GDP (current US$),NY.GDP.MKTP.CD,1992,12953801760.2414
Uzbekistan,UZB,GDP (current US$),NY.GDP.MKTP.CD,1993,13099920055.9608
Uzbekistan,UZB,GDP (current US$),NY.GDP.MKTP.CD,1994,12899074922.38
Uzbekistan,UZB,GDP (current US$),NY.GDP.MKTP.CD,1995,13350461264.9969
Uzbekistan,UZB,GDP (current US$),NY.GDP.MKTP.CD,1996,13948892215.5689
Uzbekistan,UZB,GDP (current US$),NY.GDP.MKTP.CD,1997,14744603773.5849
Uzbekistan,UZB,GDP (current US$),NY.GDP.MKTP.CD,1998,14988971210.8383
Uzbekistan,UZB,GDP (current US$),NY.GDP.MKTP.CD,1999,17078465982.0282
Uzbekistan,UZB,GDP (current US$),NY.GDP.MKTP.CD,2000,13760513969.314
Uzbekistan,UZB,GDP (current US$),NY.GDP.MKTP.CD,2001,11401421329.1974
Uzbekistan,UZB,GDP (current US$),NY.GDP.MKTP.CD,2002,9687788512.80184
Uzbekistan,UZB,GDP (current US$),NY.GDP.MKTP.CD,2003,10134453435.4603
Uzbekistan,UZB,GDP (current US$),NY.GDP.MKTP.CD,2004,12030023547.8807
Uzbekistan,UZB,GDP (current US$),NY.GDP.MKTP.CD,2005,14307509838.8053
Uzbekistan,UZB,GDP (current US$),NY.GDP.MKTP.CD,2006,17330833852.919
Uzbekistan,UZB,GDP (current US$),NY.GDP.MKTP.CD,2007,22311393927.8817
Uzbekistan,UZB,GDP (current US$),NY.GDP.MKTP.CD,2008,29549438883.8338
Uzbekistan,UZB,GDP (current US$),NY.GDP.MKTP.CD,2009,33689223673.2577
Uzbekistan,UZB,GDP (current US$),NY.GDP.MKTP.CD,2010,49765676402.4495
Uzbekistan,UZB,GDP (current US$),NY.GDP.MKTP.CD,2011,60178909297.208
Uzbekistan,UZB,GDP (current US$),NY.GDP.MKTP.CD,2012,67517349212.0609
Uzbekistan,UZB,GDP (current US$),NY.GDP.MKTP.CD,2013,73180037914.9104
Uzbekistan,UZB,GDP (current US$),NY.GDP.MKTP.CD,2014,80845385809.4529
Uzbekistan,UZB,GDP (current US$),NY.GDP.MKTP.CD,2015,86196264755.3105
Uzbekistan,UZB,GDP (current US$),NY.GDP.MKTP.CD,2016,86138288644.171
Uzbekistan,UZB,GDP (current US$),NY.GDP.MKTP.CD,2017,69703222282.7278
Uzbekistan,UZB,GDP (current US$),NY.GDP.MKTP.CD,2018,58695899092.1083
Uzbekistan,UZB,GDP (current US$),NY.GDP.MKTP.CD,2019,67293639798.3996
Uzbekistan,UZB,GDP (current US$),NY.GDP.MKTP.CD,2020,66443265418.3086
Uzbekistan,UZB,GDP (current US$),NY.GDP.MKTP.CD,2021,77340060003.0347
Uzbekistan,UZB,GDP (current US$),NY.GDP.MKTP.CD,2022,90095926567.4359
Uzbekistan,UZB,GDP (current US$),NY.GDP.MKTP.CD,2023,102641879248.764
Uzbekistan,UZB,GDP (current US$),NY.GDP.MKTP.CD,2024,114965293466.611
