country,country_code,indicator,indicator_code,year,value
Uzbekistan,UZB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1987,35.3404965345264
Uzbekistan,UZB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1988,34.2945662535748
Uzbekistan,UZB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1989,32.5623819141312
Uzbekistan,UZB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1990,33.3141126843949
Uzbekistan,UZB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1991,36.6821393582055
Uzbekistan,UZB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1992,36.126464760699
Uzbekistan,UZB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1993,31.2326868275451
Uzbekistan,UZB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1994,24.2530549835382
Uzbekistan,UZB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1995,24.1434498738884
Uzbekistan,UZB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1996,26.0832065159454
Uzbekistan,UZB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1997,22.8733761248119
Uzbekistan,UZB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1998,22.4
Uzbekistan,UZB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1999,21.0461041218419
Uzbekistan,UZB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2000,20.2297579555228
Uzbekistan,UZB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2001,19.9520841370069
Uzbekistan,UZB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2002,19.3887412418459
Uzbekistan,UZB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2003,20.445956928078
Uzbekistan,UZB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2004,22.3056846912976
Uzbekistan,UZB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2005,26.0120326061017
Uzbekistan,UZB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2006,26.8384702412792
Uzbekistan,UZB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2007,26.8627172756297
Uzbekistan,UZB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2008,29.0650709010567
Uzbekistan,UZB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2009,30.3526438159739
Uzbekistan,UZB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2010,21.2295148101409
Uzbekistan,UZB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2011,19.7779804592697
Uzbekistan,UZB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2012,20.427938155189
Uzbekistan,UZB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2013,21.2945196362137
Uzbekistan,UZB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2014,22.0708925481202
Uzbekistan,UZB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2015,22.520460823215
Uzbekistan,UZB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2016,22.9212712989472
Uzbekistan,UZB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2017,24.7253778434458
Uzbekistan,UZB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2018,28.6428986359695
Uzbekistan,UZB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2019,31.9991183695607
Uzbekistan,UZB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2020,32.0252433250071
Uzbekistan,UZB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2021,32.3968180112869
Uzbekistan,UZB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2022,31.4813507507112
Uzbekistan,UZB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2023,31.0244117605751
Uzbekistan,UZB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2024,31.8097631182563
