country,country_code,indicator,indicator_code,year,value
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,1960,8209109.0
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,1961,8517711.0
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,1962,8854368.0
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,1963,9202246.0
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,1964,9557611.0
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,1965,9921681.0
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,1966,10289294.0
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,1967,10659180.0
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,1968,11032155.0
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,1969,11403150.0
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,1970,11762638.0
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,1971,12111511.0
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,1972,12465106.0
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,1973,12831047.0
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,1974,13209011.0
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,1975,13598521.0
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,1976,13998620.0
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,1977,14408822.0
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,1978,14816349.0
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,1979,15215587.0
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,1980,15619936.0
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,1981,16035032.0
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,1982,16462736.0
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,1983,16908400.0
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,1984,17378846.0
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,1985,17875339.0
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,1986,18395621.0
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,1987,18930070.0
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,1988,19460630.0
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,1989,19977183.0
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,1990,20464956.0
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,1991,20962910.0
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,1992,21485090.0
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,1993,21987955.0
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,1994,22463291.0
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,1995,22917589.0
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,1996,23351981.0
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,1997,23758960.0
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,1998,24134929.0
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,1999,24476008.0
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,2000,24787054.0
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,2001,25090283.0
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,2002,25399980.0
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,2003,25711259.0
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,2004,26029350.0
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,2005,26356975.0
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,2006,26699043.0
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,2007,27076008.0
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,2008,27494774.0
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,2009,27939328.0
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,2010,28385506.0
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,2011,28823196.0
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,2012,29261903.0
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,2013,29724065.0
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,2014,30222994.0
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,2015,30749346.0
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,2016,31284568.0
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,2017,31819178.0
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,2018,32373490.0
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,2019,32964701.0
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,2020,33586372.0
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,2021,34243696.0
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,2022,34938955.0
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,2023,35652307.0
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,2024,36361859.0
