country,country_code,indicator,indicator_code,year,value
Vanuatu,VUT,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1990,20.1851383479185
Vanuatu,VUT,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1995,17.9014774800558
Vanuatu,VUT,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1996,18.5719178082192
Vanuatu,VUT,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1997,18.0915016136177
Vanuatu,VUT,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1998,17.7355218704219
Vanuatu,VUT,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1999,17.1248518486399
Vanuatu,VUT,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2009,16.4961980492278
Vanuatu,VUT,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2010,16.1945350483107
Vanuatu,VUT,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2011,16.4423481605108
Vanuatu,VUT,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2012,17.3819159040388
Vanuatu,VUT,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2013,18.2298178318362
Vanuatu,VUT,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2014,18.3043648976114
Vanuatu,VUT,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2015,16.2653409502645
Vanuatu,VUT,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2016,16.3107118706232
Vanuatu,VUT,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2017,17.1295330234911
Vanuatu,VUT,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2018,17.8374475037461
Vanuatu,VUT,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2019,17.5946605537459
Vanuatu,VUT,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2020,14.0402557920117
Vanuatu,VUT,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2021,15.3604842934469
Vanuatu,VUT,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2022,16.0962613785852
Vanuatu,VUT,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2023,17.4082257718511
