country,country_code,indicator,indicator_code,year,value
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,1960,32500.0
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,1961,34300.0
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,1962,35000.0
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,1963,39800.0
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,1964,40800.0
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,1965,43500.0
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,1966,46200.0
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,1967,49100.0
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,1968,55700.0
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,1969,60300.0
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,1970,63476.0
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,1971,70937.0
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,1972,76319.0
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,1973,84121.0
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,1974,89941.0
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,1975,94484.0
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,1976,96166.0
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,1977,93203.0
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,1978,95929.0
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,1979,96183.0
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,1980,99636.0
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,1981,99853.0
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,1982,100068.0
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,1983,100348.0
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,1984,100600.0
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,1985,100760.0
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,1986,100842.0
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,1987,100901.0
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,1988,100952.0
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,1989,101041.0
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,1990,103963.0
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,1991,104807.0
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,1992,105712.0
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,1993,106578.0
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,1994,107318.0
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,1995,107818.0
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,1996,108095.0
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,1997,108357.0
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,1998,108537.0
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,1999,108599.0
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,2000,108642.0
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,2001,108549.0
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,2002,108509.0
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,2003,108505.0
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,2004,108466.0
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,2005,108453.0
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,2006,108369.0
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,2007,108337.0
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,2008,108397.0
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,2009,108404.0
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,2010,108357.0
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,2011,108290.0
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,2012,108188.0
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,2013,108041.0
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,2014,107882.0
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,2015,107712.0
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,2016,107516.0
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,2017,107281.0
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,2018,107001.0
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,2019,106669.0
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,2020,106290.0
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,2021,105870.0
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,2022,105413.0
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,2023,104917.0
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,2024,104377.0
