country,country_code,indicator,indicator_code,year,value
West Bank and Gaza,PSE,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1994,33.1481025568881
West Bank and Gaza,PSE,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1995,29.5235774338979
West Bank and Gaza,PSE,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1996,26.5896292820272
West Bank and Gaza,PSE,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1997,23.2299590403745
West Bank and Gaza,PSE,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1998,22.9804808495993
West Bank and Gaza,PSE,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1999,24.7448023974527
West Bank and Gaza,PSE,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2000,21.4924888724036
West Bank and Gaza,PSE,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2001,24.0227789294902
West Bank and Gaza,PSE,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2002,20.0686202823556
West Bank and Gaza,PSE,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2003,23.1905241935484
West Bank and Gaza,PSE,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2004,19.9887032651908
West Bank and Gaza,PSE,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2005,20.9844509042667
West Bank and Gaza,PSE,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2006,18.3553652562497
West Bank and Gaza,PSE,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2007,17.5679625840398
West Bank and Gaza,PSE,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2008,17.336944626833
West Bank and Gaza,PSE,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2009,17.5581582299615
West Bank and Gaza,PSE,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2010,18.6262459329649
West Bank and Gaza,PSE,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2011,18.9342129964867
West Bank and Gaza,PSE,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2012,20.2360669702828
West Bank and Gaza,PSE,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2013,18.5586918722948
West Bank and Gaza,PSE,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2014,17.9717935338142
West Bank and Gaza,PSE,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2015,16.4252383269875
West Bank and Gaza,PSE,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2016,17.2627779869396
West Bank and Gaza,PSE,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2017,19.2317708333333
West Bank and Gaza,PSE,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2018,19.2841256773528
West Bank and Gaza,PSE,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2019,18.4328946216476
West Bank and Gaza,PSE,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2020,17.0283999819724
West Bank and Gaza,PSE,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2021,17.6851289414104
West Bank and Gaza,PSE,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2022,17.3927108606611
