country,country_code,indicator,indicator_code,year,value
Zambia,ZMB,"Population, total",SP.POP.TOTL,1960,3153729.0
Zambia,ZMB,"Population, total",SP.POP.TOTL,1961,3254086.0
Zambia,ZMB,"Population, total",SP.POP.TOTL,1962,3358099.0
Zambia,ZMB,"Population, total",SP.POP.TOTL,1963,3465907.0
Zambia,ZMB,"Population, total",SP.POP.TOTL,1964,3577017.0
Zambia,ZMB,"Population, total",SP.POP.TOTL,1965,3692086.0
Zambia,ZMB,"Population, total",SP.POP.TOTL,1966,3812003.0
Zambia,ZMB,"Population, total",SP.POP.TOTL,1967,3936343.0
Zambia,ZMB,"Population, total",SP.POP.TOTL,1968,4065593.0
Zambia,ZMB,"Population, total",SP.POP.TOTL,1969,4197116.0
Zambia,ZMB,"Population, total",SP.POP.TOTL,1970,4321718.0
Zambia,ZMB,"Population, total",SP.POP.TOTL,1971,4442525.0
Zambia,ZMB,"Population, total",SP.POP.TOTL,1972,4569309.0
Zambia,ZMB,"Population, total",SP.POP.TOTL,1973,4702693.0
Zambia,ZMB,"Population, total",SP.POP.TOTL,1974,4842746.0
Zambia,ZMB,"Population, total",SP.POP.TOTL,1975,4990086.0
Zambia,ZMB,"Population, total",SP.POP.TOTL,1976,5143842.0
Zambia,ZMB,"Population, total",SP.POP.TOTL,1977,5302480.0
Zambia,ZMB,"Population, total",SP.POP.TOTL,1978,5465374.0
Zambia,ZMB,"Population, total",SP.POP.TOTL,1979,5631728.0
Zambia,ZMB,"Population, total",SP.POP.TOTL,1980,5802833.0
Zambia,ZMB,"Population, total",SP.POP.TOTL,1981,5983289.0
Zambia,ZMB,"Population, total",SP.POP.TOTL,1982,6178637.0
Zambia,ZMB,"Population, total",SP.POP.TOTL,1983,6381038.0
Zambia,ZMB,"Population, total",SP.POP.TOTL,1984,6580490.0
Zambia,ZMB,"Population, total",SP.POP.TOTL,1985,6780953.0
Zambia,ZMB,"Population, total",SP.POP.TOTL,1986,6986471.0
Zambia,ZMB,"Population, total",SP.POP.TOTL,1987,7191282.0
Zambia,ZMB,"Population, total",SP.POP.TOTL,1988,7391440.0
Zambia,ZMB,"Population, total",SP.POP.TOTL,1989,7589216.0
Zambia,ZMB,"Population, total",SP.POP.TOTL,1990,7786169.0
Zambia,ZMB,"Population, total",SP.POP.TOTL,1991,7981650.0
Zambia,ZMB,"Population, total",SP.POP.TOTL,1992,8176680.0
Zambia,ZMB,"Population, total",SP.POP.TOTL,1993,8373921.0
Zambia,ZMB,"Population, total",SP.POP.TOTL,1994,8576269.0
Zambia,ZMB,"Population, total",SP.POP.TOTL,1995,8785763.0
Zambia,ZMB,"Population, total",SP.POP.TOTL,1996,9004053.0
Zambia,ZMB,"Population, total",SP.POP.TOTL,1997,9237063.0
Zambia,ZMB,"Population, total",SP.POP.TOTL,1998,9482408.0
Zambia,ZMB,"Population, total",SP.POP.TOTL,1999,9740005.0
Zambia,ZMB,"Population, total",SP.POP.TOTL,2000,10017631.0
Zambia,ZMB,"Population, total",SP.POP.TOTL,2001,10325185.0
Zambia,ZMB,"Population, total",SP.POP.TOTL,2002,10647949.0
Zambia,ZMB,"Population, total",SP.POP.TOTL,2003,10983595.0
Zambia,ZMB,"Population, total",SP.POP.TOTL,2004,11338198.0
Zambia,ZMB,"Population, total",SP.POP.TOTL,2005,11718819.0
Zambia,ZMB,"Population, total",SP.POP.TOTL,2006,12129553.0
Zambia,ZMB,"Population, total",SP.POP.TOTL,2007,12565085.0
Zambia,ZMB,"Population, total",SP.POP.TOTL,2008,13021324.0
Zambia,ZMB,"Population, total",SP.POP.TOTL,2009,13490389.0
Zambia,ZMB,"Population, total",SP.POP.TOTL,2010,13965594.0
Zambia,ZMB,"Population, total",SP.POP.TOTL,2011,14437796.0
Zambia,ZMB,"Population, total",SP.POP.TOTL,2012,14913629.0
Zambia,ZMB,"Population, total",SP.POP.TOTL,2013,15398997.0
Zambia,ZMB,"Population, total",SP.POP.TOTL,2014,15895315.0
Zambia,ZMB,"Population, total",SP.POP.TOTL,2015,16399089.0
Zambia,ZMB,"Population, total",SP.POP.TOTL,2016,16914423.0
Zambia,ZMB,"Population, total",SP.POP.TOTL,2017,17441320.0
Zambia,ZMB,"Population, total",SP.POP.TOTL,2018,17973569.0
Zambia,ZMB,"Population, total",SP.POP.TOTL,2019,18513839.0
Zambia,ZMB,"Population, total",SP.POP.TOTL,2020,19059395.0
Zambia,ZMB,"Population, total",SP.POP.TOTL,2021,19603607.0
Zambia,ZMB,"Population, total",SP.POP.TOTL,2022,20152938.0
Zambia,ZMB,"Population, total",SP.POP.TOTL,2023,20723965.0
Zambia,ZMB,"Population, total",SP.POP.TOTL,2024,21314956.0
