country,country_code,indicator,indicator_code,year,value
Zambia,ZMB,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1990,19.4828833598024
Zambia,ZMB,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1991,17.4938311988777
Zambia,ZMB,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1992,18.7109262523615
Zambia,ZMB,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1993,15.0401711168061
Zambia,ZMB,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1994,17.2365182861065
Zambia,ZMB,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1995,15.6895001581762
Zambia,ZMB,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1996,16.1056179545653
Zambia,ZMB,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1997,16.0500956738796
Zambia,ZMB,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1998,16.1881871288854
Zambia,ZMB,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1999,16.9543084891968
Zambia,ZMB,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2001,16.5407044588153
Zambia,ZMB,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2002,15.4400128684589
Zambia,ZMB,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2003,14.8595198791408
Zambia,ZMB,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2004,15.3170586338543
Zambia,ZMB,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2005,14.7947685977681
Zambia,ZMB,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2006,13.7115292955915
Zambia,ZMB,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2007,14.0825145811532
Zambia,ZMB,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2008,13.2593037826464
Zambia,ZMB,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2009,11.6875158256987
Zambia,ZMB,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2010,12.834842405292
Zambia,ZMB,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2011,14.7159433183957
Zambia,ZMB,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2012,14.8923642974021
Zambia,ZMB,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2013,14.3471093166635
Zambia,ZMB,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2014,15.7610303316911
Zambia,ZMB,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2015,14.3939639330138
Zambia,ZMB,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2016,13.3531814269452
Zambia,ZMB,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2017,15.1848569608409
Zambia,ZMB,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2018,16.5870654729348
Zambia,ZMB,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2019,16.6776226628035
Zambia,ZMB,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2020,16.418005509662
Zambia,ZMB,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2021,16.7804106778084
